"Status","Year","Age","Disability","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Attorney General's Departments","AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cabinet Office","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Chancellor's other departments","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Education","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Environment, Food and Rural Affairs","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Levelling Up, Housing and Communities","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Transport","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Transport","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Transport","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Work and Pensions","AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department of Health and Social Care","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department of Health and Social Care","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Food Standards Agency","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Foreign, Commonwealth and Development Office","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Land Registry","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Land Registry","AO","[c]","[c]","[c]","[c]"
