"Status","Year","Age","Disability","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data and Technology","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Operational Delivery","AA","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","Operational Delivery","AO","20","20","[c]","[c]"
"In post","2023","16-19","Declared disabled","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Operational Research","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Other","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Other","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Property","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Property","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Property","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Psychology","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Science and Engineering","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Science and Engineering","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Security","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Security","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Security","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Tax","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","AO","[c]","[c]","[c]","[c]"
