"Status","Year","Age","Disability","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","South East (England)","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Declared disabled","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","South West (England)","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Declared disabled","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Yorkshire and The Humber","SEO/HEO","[c]","[c]","[c]","[c]"
