"Status","Year","Age","Disability","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Heterosexual / straight","35","35","21810","21690"
"In post","2023","16-19","Declared disabled","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","Undeclared","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Heterosexual / straight","540","530","23740","22520"
"In post","2023","16-19","Declared non-disabled","LGBO","60","55","23950","22520"
"In post","2023","16-19","Declared non-disabled","Undeclared","25","25","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Undeclared","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Undeclared","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Heterosexual / straight","125","125","22740","22400"
"In post","2023","16-19","Unknown","LGBO","15","15","[c]","[c]"
"In post","2023","16-19","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","600","570","23020","22500"
"In post","2023","20-29","Declared disabled","Heterosexual / straight","4125","4050","31040","28880"
"In post","2023","20-29","Declared disabled","LGBO","1530","1505","31130","28880"
"In post","2023","20-29","Declared disabled","Undeclared","445","435","31160","29000"
"In post","2023","20-29","Declared disabled","Unknown","455","450","31230","30130"
"In post","2023","20-29","Declared non-disabled","Heterosexual / straight","38535","37985","31450","29080"
"In post","2023","20-29","Declared non-disabled","LGBO","4220","4185","32000","29450"
"In post","2023","20-29","Declared non-disabled","Undeclared","2095","2065","32170","30320"
"In post","2023","20-29","Declared non-disabled","Unknown","1160","1135","31070","28200"
"In post","2023","20-29","Undeclared","Heterosexual / straight","1175","1160","31990","29980"
"In post","2023","20-29","Undeclared","LGBO","330","325","31870","28880"
"In post","2023","20-29","Undeclared","Undeclared","700","690","33100","32000"
"In post","2023","20-29","Undeclared","Unknown","150","150","34450","30050"
"In post","2023","20-29","Unknown","Heterosexual / straight","6085","6035","32730","30810"
"In post","2023","20-29","Unknown","LGBO","880","875","33240","30740"
"In post","2023","20-29","Unknown","Undeclared","895","890","35710","33830"
"In post","2023","20-29","Unknown","Unknown","22345","22010","30030","28120"
"In post","2023","30-39","Declared disabled","Heterosexual / straight","7435","7045","35020","31920"
"In post","2023","30-39","Declared disabled","LGBO","1665","1615","35440","32160"
"In post","2023","30-39","Declared disabled","Undeclared","770","735","35630","32520"
"In post","2023","30-39","Declared disabled","Unknown","490","465","35930","31970"
"In post","2023","30-39","Declared non-disabled","Heterosexual / straight","60420","57575","37240","33830"
"In post","2023","30-39","Declared non-disabled","LGBO","4735","4660","38250","34340"
"In post","2023","30-39","Declared non-disabled","Undeclared","3535","3380","37640","34170"
"In post","2023","30-39","Declared non-disabled","Unknown","3315","3025","34610","30600"
"In post","2023","30-39","Undeclared","Heterosexual / straight","2470","2360","36600","32520"
"In post","2023","30-39","Undeclared","LGBO","365","355","35260","32520"
"In post","2023","30-39","Undeclared","Undeclared","1795","1740","38400","35000"
"In post","2023","30-39","Undeclared","Unknown","505","470","38660","34170"
"In post","2023","30-39","Unknown","Heterosexual / straight","7050","6805","39470","37060"
"In post","2023","30-39","Unknown","LGBO","680","670","39210","37060"
"In post","2023","30-39","Unknown","Undeclared","890","865","43820","41950"
"In post","2023","30-39","Unknown","Unknown","20210","19430","35160","31280"
"In post","2023","40-49","Declared disabled","Heterosexual / straight","10425","9675","35800","31280"
"In post","2023","40-49","Declared disabled","LGBO","1165","1115","37380","32920"
"In post","2023","40-49","Declared disabled","Undeclared","1295","1210","34440","30330"
"In post","2023","40-49","Declared disabled","Unknown","785","710","34750","28890"
"In post","2023","40-49","Declared non-disabled","Heterosexual / straight","63440","59855","39850","34700"
"In post","2023","40-49","Declared non-disabled","LGBO","2815","2740","42360","35710"
"In post","2023","40-49","Declared non-disabled","Undeclared","4840","4525","37920","33300"
"In post","2023","40-49","Declared non-disabled","Unknown","6260","5600","35720","29560"
"In post","2023","40-49","Undeclared","Heterosexual / straight","3025","2855","37890","33990"
"In post","2023","40-49","Undeclared","LGBO","240","230","38700","34290"
"In post","2023","40-49","Undeclared","Undeclared","2440","2335","39570","35000"
"In post","2023","40-49","Undeclared","Unknown","1050","990","39700","35430"
"In post","2023","40-49","Unknown","Heterosexual / straight","6095","5835","42730","39150"
"In post","2023","40-49","Unknown","LGBO","295","290","43190","38640"
"In post","2023","40-49","Unknown","Undeclared","765","730","46290","42110"
"In post","2023","40-49","Unknown","Unknown","13455","12750","37530","31990"
"In post","2023","50-59","Declared disabled","Heterosexual / straight","16245","15075","34210","29050"
"In post","2023","50-59","Declared disabled","LGBO","1070","1020","36350","31290"
"In post","2023","50-59","Declared disabled","Undeclared","2245","2060","33630","28480"
"In post","2023","50-59","Declared disabled","Unknown","1415","1290","33660","28120"
"In post","2023","50-59","Declared non-disabled","Heterosexual / straight","72605","68815","38220","32920"
"In post","2023","50-59","Declared non-disabled","LGBO","2260","2180","39650","34170"
"In post","2023","50-59","Declared non-disabled","Undeclared","7565","7070","36100","31230"
"In post","2023","50-59","Declared non-disabled","Unknown","9020","8170","34400","28130"
"In post","2023","50-59","Undeclared","Heterosexual / straight","4190","3970","36230","32910"
"In post","2023","50-59","Undeclared","LGBO","195","185","37950","32920"
"In post","2023","50-59","Undeclared","Undeclared","3835","3650","37630","34170"
"In post","2023","50-59","Undeclared","Unknown","1445","1350","39040","33170"
"In post","2023","50-59","Unknown","Heterosexual / straight","5970","5720","41020","37060"
"In post","2023","50-59","Unknown","LGBO","175","165","42400","35720"
"In post","2023","50-59","Unknown","Undeclared","865","830","43060","39360"
"In post","2023","50-59","Unknown","Unknown","12495","11760","36550","30450"
"In post","2023","60-64","Declared disabled","Heterosexual / straight","5405","4440","31570","28120"
"In post","2023","60-64","Declared disabled","LGBO","235","205","33080","28130"
"In post","2023","60-64","Declared disabled","Undeclared","840","675","30470","28120"
