"Status","Year","Age","Ethnicity","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","EO","5","5","[c]","[c]"
"In post","2023","16-19","Asian","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Debt","AA/AO","15","15","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Legal","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Asian","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","No function","AA/AO","35","35","22960","22520"
"In post","2023","16-19","Asian","No function","EO","5","5","[c]","[c]"
"In post","2023","16-19","Asian","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","No function","Unknown","[c]","[c]","[c]","[c]"
