"Status","Year","Age","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","Analysis","10","10","[c]","[c]"
"In post","2023","16-19","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Debt","15","15","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data & Technology","5","5","[c]","[c]"
"In post","2023","16-19","Asian","Finance","5","5","[c]","[c]"
"In post","2023","16-19","Asian","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Legal","10","10","[c]","[c]"
"In post","2023","16-19","Asian","No function","45","40","23660","22520"
"In post","2023","16-19","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Analysis","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Debt","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","No function","5","5","[c]","[c]"
"In post","2023","16-19","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Security","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Debt","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","No function","15","15","[c]","[c]"
"In post","2023","16-19","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Analysis","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Debt","20","20","[c]","[c]"
"In post","2023","16-19","Unknown","Digital, Data & Technology","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Finance","15","10","[c]","[c]"
"In post","2023","16-19","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Human Resources","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","No function","405","380","23270","22500"
"In post","2023","16-19","Unknown","Project Delivery","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Property","30","30","[c]","[c]"
