"Status","Year","Age","Function_of_post","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","East Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","East Wales","EO","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","10","10","22970","23340"
"In post","2023","16-19","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Hampshire and Isle of Wight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Hampshire and Isle of Wight","EO","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Inner London - East","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Inner London - West","EO","10","10","28620","28620"
"In post","2023","16-19","Analysis","Merseyside","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Outer London - South","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","South Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Tees Valley and Durham","EO","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","West Midlands","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Merseyside","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Northumberland, and Tyne and Wear","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Shropshire and Staffordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","East Anglia","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","East Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Kent","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Merseyside","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Southern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","West Midlands","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","West Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Derbyshire and Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Dorset and Somerset","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","East Wales","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Debt","Highlands and Islands","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Merseyside","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Northumberland, and Tyne and Wear","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Outer London - South","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Southern Scotland","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Debt","West Central Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","West Midlands","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Debt","West Wales and The Valleys","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","West Yorkshire","AA/AO","15","15","22430","22520"
"In post","2023","16-19","Digital, Data & Technology","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Devon","AA/AO","10","10","[c]","[c]"
