"Status","Year","Age","Function_of_post","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Central Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Croydon","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Darlington","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","Greater Manchester South West","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Monmouthshire and Newport","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","Sheffield","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","South Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Tower Hamlets","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Westminster","London","15","15","28020","28510"
"In post","2023","16-19","Analysis","Wiltshire","Outside London","10","10","22970","23340"
"In post","2023","16-19","Analysis","Wolverhampton","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Clackmannanshire and Fife","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Staffordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Sunderland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Tower Hamlets","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Westminster","London","[c]","[c]","[c]","[c]"
