"Status","Year","Age","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","15","15","24020","23890"
"In post","2023","16-19","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Building Digital UK","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Cabinet Office","15","15","25130","24610"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Scottish Government","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","55","55","21270","20980"
"In post","2023","16-19","Defence Electronics and Components Agency","Ministry of Defence","10","10","17040","15780"
"In post","2023","16-19","Defence Equipment and Support","Ministry of Defence","105","105","19240","18780"
"In post","2023","16-19","Defence Science and Technology Laboratory","Ministry of Defence","30","30","21790","23340"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","10","10","26970","28510"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Department for Education","5","5","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","10","10","22100","22150"
"In post","2023","16-19","Department for International Trade","Department for International Trade","10","10","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","5","5","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Department for Transport","5","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","75","70","23130","21690"
"In post","2023","16-19","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","Department for Transport","80","70","20690","19000"
"In post","2023","16-19","Driver and Vehicle Standards Agency","Department for Transport","5","5","[c]","[c]"
"In post","2023","16-19","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Foreign, Commonwealth and Development Office","30","30","23980","23660"
"In post","2023","16-19","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Forestry and Land Scotland","Scottish Government","10","10","[c]","[c]"
"In post","2023","16-19","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","Ministry of Justice","25","25","22110","21780"
"In post","2023","16-19","HM Land Registry","HM Land Registry","10","10","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","305","300","26010","26070"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","175","170","23250","22520"
"In post","2023","16-19","HM Treasury (excl. agencies)","HM Treasury","5","5","[c]","[c]"
"In post","2023","16-19","Health and Safety Executive","Department for Work and Pensions","5","5","[c]","[c]"
"In post","2023","16-19","Home Office","Home Office","135","130","23960","22400"
"In post","2023","16-19","Legal Aid Agency","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Met Office","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","40","40","23370","22220"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","5","5","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Public Guardian","Ministry of Justice","10","5","[c]","[c]"
