"Status","Year","Age","Organisation","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Accountant in Bankruptcy","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Operational Delivery","Outside London","15","10","23670","22150"
"In post","2023","16-19","Animal and Plant Health Agency","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Office","Legal","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Building Digital UK","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Operational Delivery","London","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Operational Delivery","Outside London","45","45","21230","20980"
"In post","2023","16-19","Defence Electronics and Components Agency","Science and Engineering","Outside London","10","10","17040","15780"
"In post","2023","16-19","Defence Equipment and Support","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Finance","Outside London","15","15","19540","19460"
"In post","2023","16-19","Defence Equipment and Support","Operational Delivery","Outside London","20","20","19170","18780"
"In post","2023","16-19","Defence Equipment and Support","Other","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Science and Engineering","Outside London","50","50","18960","18280"
"In post","2023","16-19","Defence Science and Technology Laboratory","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","Science and Engineering","Outside London","25","25","21890","23340"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","London","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport (excl. agencies)","Economics","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Economics","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","Outside London","[c]","[c]","[c]","[c]"
