"Status","Year","Age","Parent_department","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Attorney General's Departments","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Operational Delivery","Female","40","40","21230","20980"
"In post","2023","16-19","Attorney General's Departments","Operational Delivery","Male","15","15","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Unknown","Male","5","5","[c]","[c]"
"In post","2023","16-19","Chancellor's other departments","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Chancellor's other departments","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","Male","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Other","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Other","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Property","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Property","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","Female","10","10","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","Male","10","10","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Property","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Property","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","International Trade","Male","[c]","[c]","[c]","[c]"
