"Status","Year","Age","Profession_of_post","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Commercial","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
