"Status","Year","Age","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Commercial","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Economics","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Economics","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Economics","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","Finance","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Human Resources","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","Human Resources","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","International Trade","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","International Trade","London","LGBO","[c]","[c]","[c]","[c]"
