"Status","Year","Age","Region_ITL2","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Bedfordshire and Hertfordshire","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Bedfordshire and Hertfordshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bedfordshire and Hertfordshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bedfordshire and Hertfordshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","16-19","Berkshire, Buckinghamshire and Oxfordshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","20","20","[c]","[c]"
"In post","2023","16-19","Cheshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cheshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cheshire","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Cornwall and Isles of Scilly","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cornwall and Isles of Scilly","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cornwall and Isles of Scilly","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cumbria","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Cumbria","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cumbria","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cumbria","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Derbyshire and Nottinghamshire","Outside London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","16-19","Derbyshire and Nottinghamshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Derbyshire and Nottinghamshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Derbyshire and Nottinghamshire","Outside London","Unknown","15","15","[c]","[c]"
"In post","2023","16-19","Devon","Outside London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","16-19","Devon","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Devon","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Devon","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Dorset and Somerset","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Dorset and Somerset","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Dorset and Somerset","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Dorset and Somerset","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Anglia","Outside London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","16-19","East Anglia","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Anglia","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Anglia","Outside London","Unknown","20","15","[c]","[c]"
"In post","2023","16-19","East Wales","Outside London","Heterosexual / straight","40","40","21920","22340"
"In post","2023","16-19","East Wales","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Wales","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Wales","Outside London","Unknown","15","15","[c]","[c]"
"In post","2023","16-19","East Yorkshire and Northern Lincolnshire","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","East Yorkshire and Northern Lincolnshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Yorkshire and Northern Lincolnshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Yorkshire and Northern Lincolnshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Eastern Scotland","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Eastern Scotland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Eastern Scotland","Outside London","Unknown","25","25","[c]","[c]"
"In post","2023","16-19","Essex","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Essex","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Essex","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Heterosexual / straight","75","75","21670","20800"
"In post","2023","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","LGBO","15","15","[c]","[c]"
"In post","2023","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2023","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Unknown","65","65","19270","18780"
"In post","2023","16-19","Greater Manchester","Outside London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","16-19","Greater Manchester","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Greater Manchester","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Greater Manchester","Outside London","Unknown","15","15","[c]","[c]"
"In post","2023","16-19","Hampshire and Isle of Wight","Outside London","Heterosexual / straight","35","35","23310","23230"
"In post","2023","16-19","Hampshire and Isle of Wight","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Hampshire and Isle of Wight","Outside London","Unknown","20","15","[c]","[c]"
"In post","2023","16-19","Herefordshire, Worcestershire and Warwickshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Herefordshire, Worcestershire and Warwickshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Herefordshire, Worcestershire and Warwickshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Highlands and Islands","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Highlands and Islands","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Highlands and Islands","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Inner London - East","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Inner London - East","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inner London - East","London","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Inner London - West","London","Heterosexual / straight","45","45","26460","26840"
"In post","2023","16-19","Inner London - West","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inner London - West","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inner London - West","London","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Kent","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","Kent","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Kent","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Kent","Outside London","Unknown","35","35","23370","22400"
"In post","2023","16-19","Lancashire","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","Lancashire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lancashire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lancashire","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Leicestershire, Rutland and Northamptonshire","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Leicestershire, Rutland and Northamptonshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Leicestershire, Rutland and Northamptonshire","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Lincolnshire","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Lincolnshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lincolnshire","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Merseyside","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","Merseyside","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Merseyside","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Merseyside","Outside London","Unknown","30","25","[c]","[c]"
"In post","2023","16-19","North Eastern Scotland","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Eastern Scotland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Eastern Scotland","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Eastern Scotland","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","North Yorkshire","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","North Yorkshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Yorkshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northumberland, and Tyne and Wear","Outside London","Heterosexual / straight","30","25","[c]","[c]"
"In post","2023","16-19","Northumberland, and Tyne and Wear","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northumberland, and Tyne and Wear","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northumberland, and Tyne and Wear","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Outer London - East and North East","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outer London - East and North East","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outer London - East and North East","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outer London - South","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outer London - South","London","LGBO","[c]","[c]","[c]","[c]"
