"Status","Year","Age","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Aberdeen City and Aberdeenshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Aberdeen City and Aberdeenshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Angus and Dundee City","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Angus and Dundee City","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnet","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnet","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnsley, Doncaster and Rotherham","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnsley, Doncaster and Rotherham","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","20","20","[c]","[c]"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","80","80","19380","18780"
"In post","2023","16-19","Bedford","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bedford","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Belfast","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Belfast","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bexley and Greenwich","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bexley and Greenwich","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Birmingham","Female","20","20","[c]","[c]"
"In post","2023","16-19","Birmingham","Male","25","25","[c]","[c]"
"In post","2023","16-19","Blackpool","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Blackpool","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bradford","Female","10","10","[c]","[c]"
"In post","2023","16-19","Bradford","Male","15","15","[c]","[c]"
"In post","2023","16-19","Breckland and South Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Breckland and South Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bridgend and Neath Port Talbot","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bridgend and Neath Port Talbot","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Brighton and Hove","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Brighton and Hove","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bristol, City of","Female","10","10","[c]","[c]"
"In post","2023","16-19","Bristol, City of","Male","10","10","[c]","[c]"
"In post","2023","16-19","Buckinghamshire","Female","5","5","[c]","[c]"
"In post","2023","16-19","Buckinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cambridgeshire CC","Female","5","5","[c]","[c]"
"In post","2023","16-19","Cambridgeshire CC","Male","5","5","[c]","[c]"
"In post","2023","16-19","Cardiff and Vale of Glamorgan","Female","15","15","[c]","[c]"
"In post","2023","16-19","Cardiff and Vale of Glamorgan","Male","15","15","[c]","[c]"
"In post","2023","16-19","Central Hampshire","Female","5","5","[c]","[c]"
"In post","2023","16-19","Central Hampshire","Male","5","5","[c]","[c]"
"In post","2023","16-19","Central Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Central Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cheshire East","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cheshire East","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Chorley and West Lancashire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Chorley and West Lancashire","Male","5","5","[c]","[c]"
"In post","2023","16-19","City of Edinburgh","Female","15","15","[c]","[c]"
"In post","2023","16-19","City of Edinburgh","Male","5","5","[c]","[c]"
"In post","2023","16-19","Clackmannanshire and Fife","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Clackmannanshire and Fife","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Coventry","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Coventry","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Croydon","Female","10","10","[c]","[c]"
"In post","2023","16-19","Croydon","Male","10","10","[c]","[c]"
"In post","2023","16-19","Darlington","Female","5","5","[c]","[c]"
"In post","2023","16-19","Darlington","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Devon CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Devon CC","Male","10","10","[c]","[c]"
"In post","2023","16-19","Dorset","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Dorset","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Dudley","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Dudley","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Dumfries and Galloway","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Dumfries and Galloway","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Durham","Female","15","15","[c]","[c]"
"In post","2023","16-19","Durham","Male","10","10","[c]","[c]"
"In post","2023","16-19","East Ayrshire and North Ayrshire mainland","Female","5","5","[c]","[c]"
"In post","2023","16-19","East Ayrshire and North Ayrshire mainland","Male","10","10","[c]","[c]"
"In post","2023","16-19","East Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Male","5","5","[c]","[c]"
"In post","2023","16-19","East Kent","Female","25","25","[c]","[c]"
