"Status","Year","Age","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","London","125","120","27140","26760"
"In post","2023","16-19","Outside London","1280","1240","22990","22520"
"In post","2023","16-19","Unknown","40","40","21120","17810"
"In post","2023","20-29","London","22695","22560","38420","35410"
"In post","2023","20-29","Outside London","61555","60500","28590","27890"
"In post","2023","20-29","Overseas","340","340","38980","34880"
"In post","2023","20-29","Unknown","545","540","31630","29860"
"In post","2023","30-39","London","25200","24535","47970","44570"
"In post","2023","30-39","Outside London","89530","85060","33590","31060"
"In post","2023","30-39","Overseas","1030","1025","50090","52850"
"In post","2023","30-39","Unknown","570","565","39240","38340"
"In post","2023","40-49","London","22460","21380","50650","45560"
"In post","2023","40-49","Outside London","94310","88470","36030","32000"
"In post","2023","40-49","Overseas","1060","1050","57330","57290"
"In post","2023","40-49","Unknown","550","545","42870","39410"
"In post","2023","50-59","London","23805","22965","46920","40220"
"In post","2023","50-59","Outside London","116170","108745","35060","29730"
"In post","2023","50-59","Overseas","890","885","57240","56100"
"In post","2023","50-59","Unknown","735","715","43360","40530"
"In post","2023","60-64","London","6700","5965","42460","35220"
"In post","2023","60-64","Outside London","35910","29365","31890","28120"
"In post","2023","60-64","Overseas","160","160","60200","54000"
"In post","2023","60-64","Unknown","215","205","43410","40690"
"In post","2023","65+","London","2730","2250","38910","32520"
"In post","2023","65+","Outside London","11045","8325","30650","27740"
"In post","2023","65+","Overseas","35","35","56310","51580"
"In post","2023","65+","Unknown","55","50","42100","37180"
"In post","2023","Unknown","London","10","10","55630","40520"
"In post","2023","Unknown","Outside London","25","20","29990","28120"
"In post","2023","Unknown","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","London","25","[c]","23260","23640"
"Leaver CS","2023","16-19","Outside London","145","[c]","21270","21780"
"Leaver CS","2023","16-19","Unknown","10","[c]","17650","16680"
"Leaver CS","2023","20-29","London","3425","[c]","33460","31840"
"Leaver CS","2023","20-29","Outside London","7900","[c]","26050","24310"
"Leaver CS","2023","20-29","Overseas","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Unknown","105","[c]","27200","28120"
"Leaver CS","2023","30-39","London","2645","[c]","45550","42670"
"Leaver CS","2023","30-39","Outside London","6440","[c]","32350","28120"
"Leaver CS","2023","30-39","Overseas","35","[c]","42880","42950"
"Leaver CS","2023","30-39","Unknown","80","[c]","35590","32700"
"Leaver CS","2023","40-49","London","1590","[c]","52580","51140"
"Leaver CS","2023","40-49","Outside London","4840","[c]","34590","28120"
"Leaver CS","2023","40-49","Overseas","45","[c]","51490","48690"
"Leaver CS","2023","40-49","Unknown","45","[c]","41310","33710"
"Leaver CS","2023","50-59","London","1310","[c]","50610","42170"
"Leaver CS","2023","50-59","Outside London","6750","[c]","34090","28120"
