"Status","Year","Disability","Ethnicity","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","EO","10","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","G6/G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","AA/AO","25","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","EO","55","50","30030","28120"
"In post","2023","Declared disabled","Asian","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data and Technology","EO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data and Technology","G6/G7","40","40","61070","59140"
"In post","2023","Declared disabled","Asian","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data and Technology","SEO/HEO","65","60","37830","37680"
"In post","2023","Declared disabled","Asian","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Economics","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","EO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","SEO/HEO","40","35","40630","40340"
"In post","2023","Declared disabled","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Geography","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Geography","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Geography","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Geography","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","AA/AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","EO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","G6/G7","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","SEO/HEO","50","50","39680","39150"
"In post","2023","Declared disabled","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Inspector of Education and Training","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Inspector of Education and Training","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Inspector of Education and Training","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Inspector of Education and Training","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Inspector of Education and Training","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Intelligence Analysis","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Internal Audit","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","International Trade","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Knowledge and Information Management","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Knowledge and Information Management","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","G6/G7","55","50","59290","55440"
"In post","2023","Declared disabled","Asian","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","SEO/HEO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Medicine","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Medicine","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Medicine","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Medicine","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Medicine","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Operational Delivery","AA/AO","790","680","23580","22500"
"In post","2023","Declared disabled","Asian","Operational Delivery","EO","905","810","29520","28120"
"In post","2023","Declared disabled","Asian","Operational Delivery","G6/G7","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Operational Delivery","SEO/HEO","255","240","38200","37170"
"In post","2023","Declared disabled","Asian","Operational Delivery","Unknown","160","150","30860","29050"
"In post","2023","Declared disabled","Asian","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Other","AA/AO","50","40","22560","21690"
"In post","2023","Declared disabled","Asian","Other","EO","35","30","29820","29820"
"In post","2023","Declared disabled","Asian","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Other","SEO/HEO","25","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Planning","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Planning","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Planning","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Planning","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Planning Inspectors","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Planning Inspectors","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Planning Inspectors","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Planning Inspectors","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Policy","EO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Policy","G6/G7","70","70","58620","55720"
"In post","2023","Declared disabled","Asian","Policy","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Policy","SEO/HEO","130","130","38010","37590"
"In post","2023","Declared disabled","Asian","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","EO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","G6/G7","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","SEO/HEO","80","80","38800","38900"
"In post","2023","Declared disabled","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Psychology","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Psychology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Psychology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Science and Engineering","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Science and Engineering","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","AA/AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Social Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Statistics","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Tax","AA/AO","20","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Tax","EO","30","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Tax","G6/G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Tax","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Tax","SEO/HEO","65","60","38620","39450"
"In post","2023","Declared disabled","Asian","Unknown","AA/AO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","EO","30","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","G6/G7","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","SEO/HEO","75","70","36270","34730"
"In post","2023","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Veterinarian","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Veterinarian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
