"Status","Year","Disability","Function_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","East Midlands (England)","Derbyshire and Nottinghamshire","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East of England","East Anglia","25","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","London","Inner London - East","95","90","47100","43650"
"In post","2023","Declared disabled","Analysis","London","Inner London - West","240","225","47830","43320"
"In post","2023","Declared disabled","Analysis","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","London","Outer London - South","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","North East (England)","Northumberland, and Tyne and Wear","20","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","North East (England)","Tees Valley and Durham","25","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","North West (England)","Greater Manchester","40","35","42670","40000"
"In post","2023","Declared disabled","Analysis","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","North West (England)","Merseyside","25","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Scotland","Eastern Scotland","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Scotland","West Central Scotland","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","South East (England)","Hampshire and Isle of Wight","165","155","43830","39890"
"In post","2023","Declared disabled","Analysis","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","South East (England)","Surrey, East and West Sussex","10","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","South West (England)","Devon","10","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","South West (England)","Dorset and Somerset","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","125","120","41620","39890"
"In post","2023","Declared disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Wales","East Wales","110","105","37410","34830"
"In post","2023","Declared disabled","Analysis","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","West Midlands (England)","West Midlands","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Yorkshire and The Humber","South Yorkshire","45","40","43660","43780"
"In post","2023","Declared disabled","Analysis","Yorkshire and The Humber","West Yorkshire","35","35","39170","36990"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","East Anglia","25","25","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Inner London - East","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Inner London - West","140","140","59040","56000"
"In post","2023","Declared disabled","Commercial","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Outer London - South","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Outer London - West and North West","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North East (England)","Northumberland, and Tyne and Wear","15","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","Cheshire","5","5","[c]","[c]"
