"Status","Year","Disability","Function_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","East Midlands (England)","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Midlands (England)","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East of England","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East of England","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","London","Female","170","160","46890","41400"
"In post","2023","Declared disabled","Analysis","London","Male","175","170","48160","43750"
"In post","2023","Declared disabled","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","North East (England)","Female","25","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","North East (England)","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","North West (England)","Female","40","35","39600","37680"
"In post","2023","Declared disabled","Analysis","North West (England)","Male","30","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Scotland","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Scotland","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","South East (England)","Female","75","70","42850","39890"
"In post","2023","Declared disabled","Analysis","South East (England)","Male","100","95","44590","40230"
"In post","2023","Declared disabled","Analysis","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","South West (England)","Female","55","55","38160","37590"
"In post","2023","Declared disabled","Analysis","South West (England)","Male","90","90","41320","39890"
"In post","2023","Declared disabled","Analysis","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Wales","Female","70","65","37210","37720"
"In post","2023","Declared disabled","Analysis","Wales","Male","40","40","37530","32550"
"In post","2023","Declared disabled","Analysis","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","West Midlands (England)","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Yorkshire and The Humber","Female","45","40","40510","38470"
"In post","2023","Declared disabled","Analysis","Yorkshire and The Humber","Male","35","35","42950","43290"
"In post","2023","Declared disabled","Analysis","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Female","85","85","53980","50720"
"In post","2023","Declared disabled","Commercial","London","Male","90","90","58090","55010"
"In post","2023","Declared disabled","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
