"Status","Year","Disability","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","East Midlands (England)","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East of England","25","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","London","350","335","47540","43650"
"In post","2023","Declared disabled","Analysis","North East (England)","40","40","40820","38470"
"In post","2023","Declared disabled","Analysis","North West (England)","65","60","40490","37730"
"In post","2023","Declared disabled","Analysis","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Scotland","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","South East (England)","175","165","43830","39890"
"In post","2023","Declared disabled","Analysis","South West (England)","145","140","40120","39890"
"In post","2023","Declared disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Wales","115","105","37330","34370"
"In post","2023","Declared disabled","Analysis","West Midlands (England)","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Yorkshire and The Humber","80","70","41640","38830"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","30","25","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","180","175","56100","54540"
"In post","2023","Declared disabled","Commercial","North East (England)","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","85","80","44820","39800"
"In post","2023","Declared disabled","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scotland","30","30","41760","39520"
"In post","2023","Declared disabled","Commercial","South East (England)","60","60","45910","40080"
"In post","2023","Declared disabled","Commercial","South West (England)","200","190","44390","42620"
"In post","2023","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Wales","40","40","35650","32460"
"In post","2023","Declared disabled","Commercial","West Midlands (England)","40","40","47320","41510"
"In post","2023","Declared disabled","Commercial","Yorkshire and The Humber","60","60","45120","38580"
"In post","2023","Declared disabled","Communications","East Midlands (England)","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","East of England","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","London","140","140","47410","43750"
"In post","2023","Declared disabled","Communications","North East (England)","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","North West (England)","30","30","[c]","[c]"
"In post","2023","Declared disabled","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Scotland","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","South East (England)","30","30","[c]","[c]"
"In post","2023","Declared disabled","Communications","South West (England)","35","35","35510","30960"
