"Status","Year","Disability","Function_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","AA/AO","AO","30","30","22810","22500"
"In post","2023","Declared disabled","Analysis","EO","EO","95","90","28130","27890"
"In post","2023","Declared disabled","Analysis","G6/G7","G6","60","55","72170","70850"
"In post","2023","Declared disabled","Analysis","G6/G7","G7","260","245","55030","54260"
"In post","2023","Declared disabled","Analysis","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","SEO/HEO","HEO","290","280","33700","33400"
"In post","2023","Declared disabled","Analysis","SEO/HEO","SEO","295","280","41140","39890"
"In post","2023","Declared disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AA/AO","AO","45","45","23880","22670"
"In post","2023","Declared disabled","Commercial","EO","EO","75","70","27560","27140"
"In post","2023","Declared disabled","Commercial","G6/G7","G6","65","65","76600","73930"
"In post","2023","Declared disabled","Commercial","G6/G7","G7","185","180","58880","56070"
"In post","2023","Declared disabled","Commercial","SCS level","SCS level","25","25","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SEO/HEO","HEO","155","150","33270","32870"
"In post","2023","Declared disabled","Commercial","SEO/HEO","SEO","195","185","41770","41800"
"In post","2023","Declared disabled","Commercial","Unknown","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AA/AO","AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","EO","EO","65","65","28840","28120"
"In post","2023","Declared disabled","Communications","G6/G7","G6","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","G6/G7","G7","55","55","56450","55790"
"In post","2023","Declared disabled","Communications","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","SEO/HEO","HEO","100","95","35330","34580"
"In post","2023","Declared disabled","Communications","SEO/HEO","SEO","90","90","42830","42630"
"In post","2023","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","AA/AO","AO","390","335","23100","22520"
"In post","2023","Declared disabled","Counter Fraud","EO","EO","1020","920","29090","28120"
"In post","2023","Declared disabled","Counter Fraud","G6/G7","G6","30","30","72260","71300"
"In post","2023","Declared disabled","Counter Fraud","G6/G7","G7","100","90","58060","57970"
"In post","2023","Declared disabled","Counter Fraud","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","SEO/HEO","HEO","505","475","35700","35000"
"In post","2023","Declared disabled","Counter Fraud","SEO/HEO","SEO","160","155","42780","42510"
"In post","2023","Declared disabled","Debt","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","Declared disabled","Debt","AA/AO","AO","690","600","22350","21690"
"In post","2023","Declared disabled","Debt","EO","EO","175","155","28660","28120"
"In post","2023","Declared disabled","Debt","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","SEO/HEO","HEO","35","35","35340","34700"
"In post","2023","Declared disabled","Debt","SEO/HEO","SEO","15","10","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","AA/AO","AA","10","10","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","AA/AO","AO","100","95","22990","22220"
"In post","2023","Declared disabled","Digital, Data & Technology","EO","EO","505","480","28470","28120"
"In post","2023","Declared disabled","Digital, Data & Technology","G6/G7","G6","155","150","69720","68990"
"In post","2023","Declared disabled","Digital, Data & Technology","G6/G7","G7","495","480","55630","55250"
"In post","2023","Declared disabled","Digital, Data & Technology","SCS level","SCS level","30","30","95140","87340"
"In post","2023","Declared disabled","Digital, Data & Technology","SEO/HEO","HEO","685","655","34450","34170"
"In post","2023","Declared disabled","Digital, Data & Technology","SEO/HEO","SEO","600","580","41790","41590"
"In post","2023","Declared disabled","Digital, Data & Technology","Unknown","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","Finance","AA/AO","AA","10","10","[c]","[c]"
"In post","2023","Declared disabled","Finance","AA/AO","AO","220","180","22770","22520"
"In post","2023","Declared disabled","Finance","EO","EO","210","200","28420","28120"
"In post","2023","Declared disabled","Finance","G6/G7","G6","65","60","68310","67780"
"In post","2023","Declared disabled","Finance","G6/G7","G7","170","165","56040","55720"
"In post","2023","Declared disabled","Finance","SCS level","SCS level","25","25","[c]","[c]"
"In post","2023","Declared disabled","Finance","SEO/HEO","HEO","300","285","34950","34300"
"In post","2023","Declared disabled","Finance","SEO/HEO","SEO","265","250","41790","41510"
"In post","2023","Declared disabled","Finance","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","AA/AO","AO","250","225","22140","22150"
"In post","2023","Declared disabled","Grants Management","EO","EO","85","80","26170","25920"
"In post","2023","Declared disabled","Grants Management","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","SEO/HEO","HEO","40","40","31260","30840"
"In post","2023","Declared disabled","Grants Management","SEO/HEO","SEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","AA/AO","AO","160","140","22760","22220"
"In post","2023","Declared disabled","Human Resources","EO","EO","495","465","28650","28120"
"In post","2023","Declared disabled","Human Resources","G6/G7","G6","100","95","68010","67010"
"In post","2023","Declared disabled","Human Resources","G6/G7","G7","290","280","54930","55120"
"In post","2023","Declared disabled","Human Resources","SCS level","SCS level","45","45","87630","82060"
"In post","2023","Declared disabled","Human Resources","SEO/HEO","HEO","535","515","34760","34300"
"In post","2023","Declared disabled","Human Resources","SEO/HEO","SEO","385","365","42060","41510"
"In post","2023","Declared disabled","Human Resources","Unknown","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","AA/AO","AA","[c]","[c]","[c]","[c]"
