"Status","Year","Disability","Function_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","AA/AO","Female","20","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","EO","Female","50","50","27610","26670"
"In post","2023","Declared disabled","Analysis","EO","Male","45","40","28710","28210"
"In post","2023","Declared disabled","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","G6/G7","Female","145","135","58130","55740"
"In post","2023","Declared disabled","Analysis","G6/G7","Male","170","165","58160","57350"
"In post","2023","Declared disabled","Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","SEO/HEO","Female","300","285","36940","37760"
"In post","2023","Declared disabled","Analysis","SEO/HEO","Male","285","275","37970","38470"
"In post","2023","Declared disabled","Analysis","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AA/AO","Female","25","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AA/AO","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","EO","Female","45","40","27660","27450"
"In post","2023","Declared disabled","Commercial","EO","Male","30","30","27420","27080"
"In post","2023","Declared disabled","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","G6/G7","Female","120","115","61800","57380"
"In post","2023","Declared disabled","Commercial","G6/G7","Male","125","125","65170","66140"
"In post","2023","Declared disabled","Commercial","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SEO/HEO","Female","215","205","37580","38550"
"In post","2023","Declared disabled","Commercial","SEO/HEO","Male","135","130","38590","38460"
"In post","2023","Declared disabled","Commercial","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","EO","Female","35","35","29160","28300"
"In post","2023","Declared disabled","Communications","EO","Male","30","30","28440","27740"
"In post","2023","Declared disabled","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","G6/G7","Female","50","50","59420","58040"
"In post","2023","Declared disabled","Communications","G6/G7","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Communications","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","SEO/HEO","Female","125","120","38630","38000"
"In post","2023","Declared disabled","Communications","SEO/HEO","Male","65","65","39570","39730"
"In post","2023","Declared disabled","Communications","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","AA/AO","Female","245","200","23230","22520"
"In post","2023","Declared disabled","Counter Fraud","AA/AO","Male","150","140","22880","22520"
"In post","2023","Declared disabled","Counter Fraud","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","EO","Female","655","580","29120","28120"
"In post","2023","Declared disabled","Counter Fraud","EO","Male","365","340","29030","28120"
"In post","2023","Declared disabled","Counter Fraud","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","G6/G7","Female","60","55","60220","57970"
"In post","2023","Declared disabled","Counter Fraud","G6/G7","Male","65","60","62450","57970"
"In post","2023","Declared disabled","Counter Fraud","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","SEO/HEO","Female","380","355","37480","35000"
"In post","2023","Declared disabled","Counter Fraud","SEO/HEO","Male","290","275","37320","35000"
"In post","2023","Declared disabled","Counter Fraud","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","AA/AO","Female","435","365","22360","21690"
"In post","2023","Declared disabled","Debt","AA/AO","Male","260","240","22330","22520"
"In post","2023","Declared disabled","Debt","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","EO","Female","115","100","28760","28120"
"In post","2023","Declared disabled","Debt","EO","Male","60","55","28460","28120"
"In post","2023","Declared disabled","Debt","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","SEO/HEO","Female","30","30","36930","35000"
"In post","2023","Declared disabled","Debt","SEO/HEO","Male","20","15","[c]","[c]"
"In post","2023","Declared disabled","Debt","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","AA/AO","Female","55","50","22980","22220"
"In post","2023","Declared disabled","Digital, Data & Technology","AA/AO","Male","55","55","22700","22220"
