"Status","Year","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","1040","985","42980","39890"
"In post","2023","Declared disabled","Commercial","755","730","47130","41870"
"In post","2023","Declared disabled","Communications","345","335","41560","38470"
"In post","2023","Declared disabled","Counter Fraud","2215","2005","32500","28210"
"In post","2023","Declared disabled","Debt","925","805","24520","22520"
"In post","2023","Declared disabled","Digital, Data & Technology","2600","2505","41380","38020"
"In post","2023","Declared disabled","Finance","1265","1180","38810","35000"
"In post","2023","Declared disabled","Grants Management","405","375","25800","22150"
"In post","2023","Declared disabled","Human Resources","2035","1930","39370","35000"
"In post","2023","Declared disabled","Internal Audit","90","85","46030","43260"
"In post","2023","Declared disabled","Legal","1380","1275","45270","42510"
"In post","2023","Declared disabled","No function","41020","37240","31380","28120"
"In post","2023","Declared disabled","Project Delivery","2375","2275","43370","40270"
"In post","2023","Declared disabled","Property","790","750","38200","34300"
"In post","2023","Declared disabled","Security","855","825","35040","32640"
"In post","2023","Declared disabled","Unknown","2695","2570","40290","35600"
"In post","2023","Declared non-disabled","Analysis","6300","6060","46870","43250"
"In post","2023","Declared non-disabled","Commercial","4605","4465","49330","42700"
"In post","2023","Declared non-disabled","Communications","2495","2390","44900","41550"
"In post","2023","Declared non-disabled","Counter Fraud","11430","10620","34190","32260"
"In post","2023","Declared non-disabled","Debt","4745","4245","24940","22520"
"In post","2023","Declared non-disabled","Digital, Data & Technology","16770","16280","43910","41000"
"In post","2023","Declared non-disabled","Finance","8560","8120","41780","38470"
"In post","2023","Declared non-disabled","Grants Management","1410","1305","26760","22150"
"In post","2023","Declared non-disabled","Human Resources","9060","8650","39850","35000"
"In post","2023","Declared non-disabled","Internal Audit","495","475","48840","46110"
"In post","2023","Declared non-disabled","Legal","9045","8440","48900","52020"
"In post","2023","Declared non-disabled","No function","206855","191750","33600","28880"
"In post","2023","Declared non-disabled","Project Delivery","14125","13575","47030","42510"
"In post","2023","Declared non-disabled","Property","5630","5370","38720","34770"
"In post","2023","Declared non-disabled","Security","5825","5675","34800","31580"
"In post","2023","Declared non-disabled","Unknown","16850","16100","43920","39690"
"In post","2023","Undeclared","Analysis","375","365","45820","42510"
"In post","2023","Undeclared","Commercial","410","400","50450","43360"
"In post","2023","Undeclared","Communications","205","200","43210","39590"
"In post","2023","Undeclared","Counter Fraud","950","890","35520","32770"
"In post","2023","Undeclared","Debt","335","295","24810","22520"
"In post","2023","Undeclared","Digital, Data & Technology","1400","1370","43860","41230"
"In post","2023","Undeclared","Finance","655","620","41790","37710"
"In post","2023","Undeclared","Grants Management","195","180","25770","22150"
"In post","2023","Undeclared","Human Resources","770","740","38580","34300"
"In post","2023","Undeclared","Internal Audit","40","40","51660","52480"
"In post","2023","Undeclared","Legal","360","335","51980","54230"
"In post","2023","Undeclared","No function","19540","18065","34900","31950"
"In post","2023","Undeclared","Project Delivery","945","910","46640","42510"
"In post","2023","Undeclared","Property","565","530","38620","35170"
"In post","2023","Undeclared","Security","645","625","35960","34800"
"In post","2023","Undeclared","Unknown","525","500","42610","39690"
"In post","2023","Unknown","Analysis","2610","2550","41050","38120"
"In post","2023","Unknown","Commercial","1510","1475","43070","37590"
"In post","2023","Unknown","Communications","1110","1085","43770","40860"
"In post","2023","Unknown","Counter Fraud","2545","2420","34560","32540"
"In post","2023","Unknown","Debt","1755","1625","24180","22520"
"In post","2023","Unknown","Digital, Data & Technology","5580","5485","42890","39190"
"In post","2023","Unknown","Finance","2385","2280","39390","34700"
"In post","2023","Unknown","Grants Management","605","560","26850","22150"
"In post","2023","Unknown","Human Resources","2555","2470","38450","34300"
"In post","2023","Unknown","Internal Audit","105","100","44960","41990"
"In post","2023","Unknown","Legal","2600","2460","44990","47820"
"In post","2023","Unknown","No function","63275","60025","33000","28490"
"In post","2023","Unknown","Project Delivery","4855","4715","44900","41330"
"In post","2023","Unknown","Property","1925","1870","33020","29000"
"In post","2023","Unknown","Security","2710","2660","34380","30500"
"In post","2023","Unknown","Unknown","10755","10420","39430","34480"
"Leaver CS","2023","Declared disabled","Analysis","50","[c]","34990","32030"
"Leaver CS","2023","Declared disabled","Commercial","50","[c]","37540","34250"
"Leaver CS","2023","Declared disabled","Communications","30","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","140","[c]","29010","28120"
"Leaver CS","2023","Declared disabled","Debt","105","[c]","22820","21690"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","190","[c]","40550","36340"
"Leaver CS","2023","Declared disabled","Finance","90","[c]","42110","36460"
"Leaver CS","2023","Declared disabled","Grants Management","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Human Resources","200","[c]","37860","33140"
"Leaver CS","2023","Declared disabled","Internal Audit","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Legal","100","[c]","42890","38760"
"Leaver CS","2023","Declared disabled","No function","3660","[c]","29560","27570"
"Leaver CS","2023","Declared disabled","Project Delivery","125","[c]","40680","39880"
"Leaver CS","2023","Declared disabled","Property","50","[c]","42710","34170"
"Leaver CS","2023","Declared disabled","Security","95","[c]","34110","33370"
"Leaver CS","2023","Declared disabled","Unknown","135","[c]","38510","33900"
"Leaver CS","2023","Declared non-disabled","Analysis","395","[c]","38170","33550"
