"Status","Year","Disability","Parent_department","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Attorney General's Departments","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Communications","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Counter Fraud","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Digital, Data and Technology","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Digital, Data and Technology","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Digital, Data and Technology","SEO/HEO","10","10","[c]","[c]"
