"Status","Year","Disability","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Attorney General's Departments","London","475","445","49920","52020"
"In post","2023","Declared disabled","Attorney General's Departments","Outside London","730","675","40640","35000"
"In post","2023","Declared disabled","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","London","730","720","46850","40090"
"In post","2023","Declared disabled","Cabinet Office","Outside London","640","625","42560","36080"
"In post","2023","Declared disabled","Cabinet Office","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Outside London","30","30","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","London","45","45","55100","44310"
"In post","2023","Declared disabled","Competition and Markets Authority","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","London","565","550","49190","45570"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","Outside London","880","825","35640","32730"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","London","155","150","48920","52760"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","Outside London","35","35","41090","35620"
"In post","2023","Declared disabled","Department for Education","London","230","215","51890","55020"
"In post","2023","Declared disabled","Department for Education","Outside London","605","575","41010","37590"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","London","325","315","45310","40260"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Outside London","1475","1395","33000","30320"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","London","215","215","48370","41750"
"In post","2023","Declared disabled","Department for International Trade","Outside London","55","50","40240","38510"
"In post","2023","Declared disabled","Department for International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","London","250","245","47930","43180"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","Outside London","200","195","40710","37540"
"In post","2023","Declared disabled","Department for Transport","London","230","220","46940","43750"
"In post","2023","Declared disabled","Department for Transport","Outside London","1200","1045","28070","26960"
"In post","2023","Declared disabled","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Work and Pensions","London","1710","1565","35460","32520"
"In post","2023","Declared disabled","Department for Work and Pensions","Outside London","15625","13630","28080","28120"
"In post","2023","Declared disabled","Department for Work and Pensions","Unknown","60","55","32780","28120"
"In post","2023","Declared disabled","Department of Health and Social Care","London","245","235","48400","41950"
"In post","2023","Declared disabled","Department of Health and Social Care","Outside London","255","250","44150","39410"
"In post","2023","Declared disabled","Department of Health and Social Care","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","Outside London","120","115","38780","37720"
"In post","2023","Declared disabled","Food Standards Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","London","360","350","48970","43000"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","Outside London","130","125","36850","32750"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","Overseas","140","140","48720","44320"
"In post","2023","Declared disabled","HM Land Registry","London","25","20","[c]","[c]"
"In post","2023","Declared disabled","HM Land Registry","Outside London","665","590","30640","28080"
"In post","2023","Declared disabled","HM Revenue and Customs","London","920","865","46270","40470"
"In post","2023","Declared disabled","HM Revenue and Customs","Outside London","5760","5215","33260","29730"
"In post","2023","Declared disabled","HM Treasury","London","205","200","47510","44770"
"In post","2023","Declared disabled","HM Treasury","Outside London","60","55","42740","42700"
"In post","2023","Declared disabled","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Home Office","London","1185","1110","40960","36180"
"In post","2023","Declared disabled","Home Office","Outside London","2020","1860","29830","26180"
"In post","2023","Declared disabled","Home Office","Overseas","5","5","[c]","[c]"
"In post","2023","Declared disabled","Home Office","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Ministry of Defence","London","425","420","44650","39900"
"In post","2023","Declared disabled","Ministry of Defence","Outside London","5345","5130","35680","33990"
"In post","2023","Declared disabled","Ministry of Defence","Overseas","35","35","50510","47080"
"In post","2023","Declared disabled","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ministry of Justice","London","1935","1845","37620","35030"
"In post","2023","Declared disabled","Ministry of Justice","Outside London","10370","9595","30530","28880"
"In post","2023","Declared disabled","Ministry of Justice","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","National Crime Agency","London","75","75","44790","42240"
"In post","2023","Declared disabled","National Crime Agency","Outside London","190","185","39160","38530"
"In post","2023","Declared disabled","National Crime Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","National Crime Agency","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland Office","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland Office","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Office for Standards in Education, Children's Services and Skills","London","30","30","50890","39790"
"In post","2023","Declared disabled","Office for Standards in Education, Children's Services and Skills","Outside London","135","130","47310","47750"
"In post","2023","Declared disabled","Office of Gas and Electricity Markets","London","65","65","43320","35470"
"In post","2023","Declared disabled","Office of Gas and Electricity Markets","Outside London","65","60","34990","28000"
"In post","2023","Declared disabled","Office of Qualifications and Examinations Regulation","Outside London","50","45","40790","39140"
"In post","2023","Declared disabled","Office of Rail and Road","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Office of Rail and Road","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Scotland","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Scotland","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scottish Government","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scottish Government","Outside London","2235","2110","38730","34730"
"In post","2023","Declared disabled","Scottish Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","The National Archives","London","35","35","33150","29840"
"In post","2023","Declared disabled","The National Archives","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Export Finance","London","35","35","50770","44380"
"In post","2023","Declared disabled","UK Export Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Statistics Authority","London","30","25","[c]","[c]"
"In post","2023","Declared disabled","UK Statistics Authority","Outside London","605","535","33670","31560"
"In post","2023","Declared disabled","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government","Outside London","360","335","41490","39690"
"In post","2023","Declared disabled","Welsh Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Attorney General's Departments","London","3385","3190","51230","52790"
"In post","2023","Declared non-disabled","Attorney General's Departments","Outside London","3930","3640","41910","38760"
"In post","2023","Declared non-disabled","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Cabinet Office","London","2985","2930","57540","56430"
"In post","2023","Declared non-disabled","Cabinet Office","Outside London","2545","2465","47550","40450"
"In post","2023","Declared non-disabled","Cabinet Office","Unknown","85","80","44880","38260"
"In post","2023","Declared non-disabled","Chancellor's other departments","London","280","270","64280","56050"
"In post","2023","Declared non-disabled","Chancellor's other departments","Outside London","65","65","50200","45000"
"In post","2023","Declared non-disabled","Charity Commission","London","45","45","46450","41690"
"In post","2023","Declared non-disabled","Charity Commission","Outside London","205","200","35490","30170"
"In post","2023","Declared non-disabled","Competition and Markets Authority","London","660","640","62240","58070"
"In post","2023","Declared non-disabled","Competition and Markets Authority","Outside London","100","95","56260","55130"
"In post","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy","London","3910","3810","52200","55120"
"In post","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Outside London","5975","5670","39080","37420"
"In post","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Overseas","30","30","[c]","[c]"
"In post","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport","London","1225","1200","50940","53030"
"In post","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport","Outside London","210","205","43100","37370"
"In post","2023","Declared non-disabled","Department for Education","London","1510","1440","53840","55020"
"In post","2023","Declared non-disabled","Department for Education","Outside London","3735","3590","45000","41510"
"In post","2023","Declared non-disabled","Department for Environment, Food and Rural Affairs","London","1870","1820","46290","40480"
"In post","2023","Declared non-disabled","Department for Environment, Food and Rural Affairs","Outside London","6975","6635","35120","30350"
"In post","2023","Declared non-disabled","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Department for International Trade","London","1435","1415","49570","44300"
"In post","2023","Declared non-disabled","Department for International Trade","Outside London","350","340","44090","41790"
"In post","2023","Declared non-disabled","Department for International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Department for Levelling Up, Housing and Communities","London","1555","1515","51850","54630"
"In post","2023","Declared non-disabled","Department for Levelling Up, Housing and Communities","Outside London","1475","1390","44790","41840"
"In post","2023","Declared non-disabled","Department for Transport","London","2225","2160","51850","51420"
"In post","2023","Declared non-disabled","Department for Transport","Outside London","8810","8095","30960","27450"
"In post","2023","Declared non-disabled","Department for Transport","Overseas","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Department for Work and Pensions","London","6655","6160","36340","32520"
"In post","2023","Declared non-disabled","Department for Work and Pensions","Outside London","56720","50665","29370","28120"
"In post","2023","Declared non-disabled","Department for Work and Pensions","Unknown","235","225","34550","28120"
"In post","2023","Declared non-disabled","Department of Health and Social Care","London","1910","1825","50880","43690"
