"Status","Year","Disability","Region_ITL1","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","AA/AO","570","510","23660","22500"
"In post","2023","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","EO","575","520","28060","28120"
"In post","2023","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","G6/G7","140","130","59420","57970"
"In post","2023","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","SEO/HEO","500","475","37160","35000"
"In post","2023","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","190","175","30170","29050"
"In post","2023","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA/AO","380","330","22850","21780"
"In post","2023","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","260","235","28050","28120"
"In post","2023","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6/G7","25","20","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO/HEO","105","105","37990","35000"
"In post","2023","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","110","100","31660","30810"
"In post","2023","Declared disabled","East Midlands (England)","Lincolnshire","AA/AO","190","175","24120","22220"
"In post","2023","Declared disabled","East Midlands (England)","Lincolnshire","EO","125","110","28330","28120"
"In post","2023","Declared disabled","East Midlands (England)","Lincolnshire","G6/G7","20","20","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","Lincolnshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","Lincolnshire","SEO/HEO","80","75","36580","34300"
"In post","2023","Declared disabled","East Midlands (England)","Lincolnshire","Unknown","65","60","30640","29050"
"In post","2023","Declared disabled","East of England","Bedfordshire and Hertfordshire","AA/AO","135","120","25360","24360"
"In post","2023","Declared disabled","East of England","Bedfordshire and Hertfordshire","EO","235","210","30160","31280"
"In post","2023","Declared disabled","East of England","Bedfordshire and Hertfordshire","G6/G7","35","35","65590","62350"
"In post","2023","Declared disabled","East of England","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East of England","Bedfordshire and Hertfordshire","SEO/HEO","110","100","40400","39140"
"In post","2023","Declared disabled","East of England","Bedfordshire and Hertfordshire","Unknown","90","80","31650","30810"
"In post","2023","Declared disabled","East of England","East Anglia","AA/AO","550","490","25000","22520"
"In post","2023","Declared disabled","East of England","East Anglia","EO","470","420","28630","28120"
"In post","2023","Declared disabled","East of England","East Anglia","G6/G7","55","55","59400","56310"
"In post","2023","Declared disabled","East of England","East Anglia","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East of England","East Anglia","SEO/HEO","400","380","38090","35200"
"In post","2023","Declared disabled","East of England","East Anglia","Unknown","180","165","28920","26840"
"In post","2023","Declared disabled","East of England","Essex","AA/AO","160","140","24770","25600"
"In post","2023","Declared disabled","East of England","Essex","EO","295","270","30450","31280"
"In post","2023","Declared disabled","East of England","Essex","G6/G7","25","20","[c]","[c]"
"In post","2023","Declared disabled","East of England","Essex","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East of England","Essex","SEO/HEO","85","80","38830","37520"
"In post","2023","Declared disabled","East of England","Essex","Unknown","85","80","28960","29050"
"In post","2023","Declared disabled","London","Inner London - East","AA/AO","290","265","27260","25810"
"In post","2023","Declared disabled","London","Inner London - East","EO","555","510","32330","32520"
