"Status","Year","Disability","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","600","550","33590","31280"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","1120","1055","34080","31280"
"In post","2023","Declared disabled","Cheshire","550","500","31800","28120"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","255","230","27880","28120"
"In post","2023","Declared disabled","Cumbria","360","325","29410","25980"
"In post","2023","Declared disabled","Derbyshire and Nottinghamshire","1975","1810","31600","28120"
"In post","2023","Declared disabled","Devon","1235","1110","31110","28120"
"In post","2023","Declared disabled","Dorset and Somerset","745","690","31220","28120"
"In post","2023","Declared disabled","East Anglia","1660","1515","30940","28120"
"In post","2023","Declared disabled","East Wales","2025","1880","33850","29890"
"In post","2023","Declared disabled","East Yorkshire and Northern Lincolnshire","635","570","29150","28120"
"In post","2023","Declared disabled","Eastern Scotland","2225","2070","35730","31540"
"In post","2023","Declared disabled","Essex","650","585","31170","31280"
"In post","2023","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","3680","3475","37390","34170"
"In post","2023","Declared disabled","Greater Manchester","2730","2530","33000","28120"
"In post","2023","Declared disabled","Hampshire and Isle of Wight","1980","1800","33700","30650"
"In post","2023","Declared disabled","Herefordshire, Worcestershire and Warwickshire","535","485","30140","28120"
"In post","2023","Declared disabled","Highlands and Islands","190","175","29850","28120"
"In post","2023","Declared disabled","Inner London - East","1985","1880","41240","35410"
"In post","2023","Declared disabled","Inner London - West","5780","5590","47140","42170"
"In post","2023","Declared disabled","Kent","1105","1020","31430","31280"
"In post","2023","Declared disabled","Lancashire","2325","2075","29290","28120"
"In post","2023","Declared disabled","Leicestershire, Rutland and Northamptonshire","880","790","28320","28120"
"In post","2023","Declared disabled","Lincolnshire","480","440","29890","28120"
"In post","2023","Declared disabled","Merseyside","2710","2440","30270","28120"
"In post","2023","Declared disabled","North Eastern Scotland","155","145","34880","29450"
"In post","2023","Declared disabled","North Yorkshire","605","570","33170","29050"
"In post","2023","Declared disabled","Northern Ireland","380","355","31840","28130"
"In post","2023","Declared disabled","Northumberland, and Tyne and Wear","2885","2555","29700","28120"
"In post","2023","Declared disabled","Outer London - East and North East","640","585","32170","32520"
"In post","2023","Declared disabled","Outer London - South","1260","1185","39250","34370"
"In post","2023","Declared disabled","Outer London - West and North West","920","840","34190","32520"
"In post","2023","Declared disabled","Overseas","185","185","49120","44760"
"In post","2023","Declared disabled","Shropshire and Staffordshire","1235","1140","32200","28120"
"In post","2023","Declared disabled","South Yorkshire","1470","1320","32630","28120"
"In post","2023","Declared disabled","Southern Scotland","495","435","29910","28120"
"In post","2023","Declared disabled","Surrey, East and West Sussex","1170","1055","31350","28120"
"In post","2023","Declared disabled","Tees Valley and Durham","1425","1275","29970","28120"
"In post","2023","Declared disabled","Unknown","120","110","34170","28120"
"In post","2023","Declared disabled","West Central Scotland","2255","2045","31260","28120"
"In post","2023","Declared disabled","West Midlands","2675","2425","31230","28120"
"In post","2023","Declared disabled","West Wales and The Valleys","2200","1950","28040","27450"
"In post","2023","Declared disabled","West Yorkshire","2290","2100","33040","28130"
"In post","2023","Declared non-disabled","Bedfordshire and Hertfordshire","3075","2870","34930","31280"
"In post","2023","Declared non-disabled","Berkshire, Buckinghamshire and Oxfordshire","5800","5495","35650","32380"
"In post","2023","Declared non-disabled","Cheshire","2460","2295","34000","30410"
"In post","2023","Declared non-disabled","Cornwall and Isles of Scilly","1170","1070","29120","28120"
"In post","2023","Declared non-disabled","Cumbria","1565","1445","30720","26850"
"In post","2023","Declared non-disabled","Derbyshire and Nottinghamshire","9025","8410","34330","30330"
"In post","2023","Declared non-disabled","Devon","6575","6050","34670","31580"
"In post","2023","Declared non-disabled","Dorset and Somerset","3600","3350","32490","28880"
"In post","2023","Declared non-disabled","East Anglia","8560","7965","32440","28880"
"In post","2023","Declared non-disabled","East Wales","14080","13255","37110","32310"
"In post","2023","Declared non-disabled","East Yorkshire and Northern Lincolnshire","3515","3210","30500","28120"
"In post","2023","Declared non-disabled","Eastern Scotland","11125","10505","39070","34100"
"In post","2023","Declared non-disabled","Essex","2980","2745","32210","31280"
"In post","2023","Declared non-disabled","Gloucestershire, Wiltshire and Bath/Bristol area","19615","18630","39550","35710"
"In post","2023","Declared non-disabled","Greater Manchester","13970","13210","34800","30410"
"In post","2023","Declared non-disabled","Hampshire and Isle of Wight","9430","8775","35610","32060"
