"Status","Year","Disability","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","AA/AO","45","40","24500","22200"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","EO","55","50","30000","28120"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","SEO/HEO","50","45","45540","39740"
"In post","2023","Declared disabled","Angus and Dundee City","AA/AO","165","150","22560","21690"
"In post","2023","Declared disabled","Angus and Dundee City","EO","130","120","28770","28120"
"In post","2023","Declared disabled","Angus and Dundee City","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Angus and Dundee City","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Angus and Dundee City","SEO/HEO","40","35","36720","34730"
"In post","2023","Declared disabled","Antrim and Newtownabbey","AA/AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","AA/AO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Armagh City, Banbridge and Craigavon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Armagh City, Banbridge and Craigavon","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Armagh City, Banbridge and Craigavon","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Armagh City, Banbridge and Craigavon","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Barking & Dagenham and Havering","AA/AO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Barking & Dagenham and Havering","EO","70","60","31990","32520"
"In post","2023","Declared disabled","Barking & Dagenham and Havering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Barking & Dagenham and Havering","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Barking & Dagenham and Havering","Unknown","15","10","[c]","[c]"
"In post","2023","Declared disabled","Barnet","AA/AO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Barnet","EO","50","45","31990","32520"
"In post","2023","Declared disabled","Barnet","G6/G7","15","15","[c]","[c]"
