"Status","Year","Disability","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","London","AA","160","145","24290","23500"
"In post","2023","Declared disabled","London","AO","1205","1100","27010","25610"
"In post","2023","Declared disabled","London","EO","2415","2240","31610","32260"
"In post","2023","Declared disabled","London","G6","735","705","71030","70300"
"In post","2023","Declared disabled","London","G7","1745","1690","58480","56530"
"In post","2023","Declared disabled","London","HEO","2080","2030","36620","36180"
"In post","2023","Declared disabled","London","SCS level","335","325","93420","84160"
"In post","2023","Declared disabled","London","SEO","1455","1410","44470","43650"
"In post","2023","Declared disabled","London","Unknown","455","435","36290","33820"
"In post","2023","Declared disabled","Outside London","AA","1930","1695","21710","21380"
"In post","2023","Declared disabled","Outside London","AO","13375","11690","23480","22150"
"In post","2023","Declared disabled","Outside London","EO","14545","13090","28450","28120"
"In post","2023","Declared disabled","Outside London","G6","855","825","70740","69580"
"In post","2023","Declared disabled","Outside London","G7","3190","3055","55190","54510"
"In post","2023","Declared disabled","Outside London","HEO","7240","6835","34340","34170"
"In post","2023","Declared disabled","Outside London","SCS level","215","205","89990","83000"
"In post","2023","Declared disabled","Outside London","SEO","4715","4515","42240","41640"
"In post","2023","Declared disabled","Outside London","Unknown","3835","3575","31180","29050"
"In post","2023","Declared disabled","Overseas","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Overseas","G6","20","20","[c]","[c]"
"In post","2023","Declared disabled","Overseas","G7","40","40","57340","56770"
"In post","2023","Declared disabled","Overseas","HEO","75","75","37290","35250"
"In post","2023","Declared disabled","Overseas","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","Overseas","SEO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","AO","20","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","EO","45","45","28180","28120"
"In post","2023","Declared disabled","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","HEO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","London","AA","885","815","24580","23500"
"In post","2023","Declared non-disabled","London","AO","6035","5545","27740","26400"
"In post","2023","Declared non-disabled","London","EO","12000","11280","31420","31450"
"In post","2023","Declared non-disabled","London","G6","6240","5995","71290","70010"
"In post","2023","Declared non-disabled","London","G7","13180","12775","58360","56760"
"In post","2023","Declared non-disabled","London","HEO","10870","10595","37190","36310"
"In post","2023","Declared non-disabled","London","SCS level","3015","2910","91320","82760"
"In post","2023","Declared non-disabled","London","SEO","9725","9485","44480","43660"
"In post","2023","Declared non-disabled","London","Unknown","1495","1425","35940","34800"
"In post","2023","Declared non-disabled","Outside London","AA","9355","8465","21830","22080"
"In post","2023","Declared non-disabled","Outside London","AO","64555","57985","24320","22500"
"In post","2023","Declared non-disabled","Outside London","EO","66390","61015","28440","28120"
"In post","2023","Declared non-disabled","Outside London","G6","7720","7425","70480","69940"
"In post","2023","Declared non-disabled","Outside London","G7","22415","21565","55890","55110"
"In post","2023","Declared non-disabled","Outside London","HEO","41305","39410","34520","34300"
"In post","2023","Declared non-disabled","Outside London","SCS level","1895","1840","91370","84260"
"In post","2023","Declared non-disabled","Outside London","SEO","31110","29885","42630","41800"
"In post","2023","Declared non-disabled","Outside London","Unknown","13460","12620","31810","29050"
"In post","2023","Declared non-disabled","Overseas","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Overseas","AO","40","40","28520","25750"
"In post","2023","Declared non-disabled","Overseas","EO","130","125","34750","33510"
"In post","2023","Declared non-disabled","Overseas","G6","205","200","69650","66780"
"In post","2023","Declared non-disabled","Overseas","G7","375","375","58070","56100"
"In post","2023","Declared non-disabled","Overseas","HEO","605","605","36740","35250"
"In post","2023","Declared non-disabled","Overseas","SCS level","185","180","89120","78650"
"In post","2023","Declared non-disabled","Overseas","SEO","290","290","49310","47380"
"In post","2023","Declared non-disabled","Overseas","Unknown","125","125","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","AA","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","AO","95","90","24070","21690"
"In post","2023","Declared non-disabled","Unknown","EO","230","215","28170","28120"
"In post","2023","Declared non-disabled","Unknown","G6","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","G7","60","60","56490","55790"
"In post","2023","Declared non-disabled","Unknown","HEO","85","80","37660","34640"
"In post","2023","Declared non-disabled","Unknown","SCS level","10","5","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","SEO","70","65","44160","42930"
"In post","2023","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","London","AA","195","175","25060","23670"
"In post","2023","Undeclared","London","AO","625","570","28860","26400"
"In post","2023","Undeclared","London","EO","1040","985","32010","31950"
