"Status","Year","Ethnicity","Function_of_post","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","Active Travel England","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Active Travel England","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Attorney General's Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Building Digital UK","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cabinet Office (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cabinet Office (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cabinet Office (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Central Civil Service Fast Stream","Statistics","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Other","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Charity Commission","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Charity Commission","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Companies House","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Companies House","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Competition and Markets Authority","Economics","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Competition and Markets Authority","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Competition and Markets Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Defence Electronics and Components Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Defence Science and Technology Laboratory","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Defence Science and Technology Laboratory","Other","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Defence Science and Technology Laboratory","Science and Engineering","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Economics","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education (excl. agencies)","Economics","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education (excl. agencies)","Operational Research","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education (excl. agencies)","Social Research","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education (excl. agencies)","Statistics","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","Department for International Trade","Economics","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for International Trade","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for International Trade","Other","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for International Trade","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for International Trade","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for International Trade","Statistics","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Economics","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","20","15","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Transport (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Transport (excl. agencies)","Economics","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Transport (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Transport (excl. agencies)","Other","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Transport (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Transport (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Transport (excl. agencies)","Statistics","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Work and Pensions (excl. agencies)","Economics","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Work and Pensions (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Work and Pensions (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Work and Pensions (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Work and Pensions (excl. agencies)","Policy","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Work and Pensions (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Work and Pensions (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Work and Pensions (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Work and Pensions (excl. agencies)","Statistics","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department of Health and Social Care (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department of Health and Social Care (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department of Health and Social Care (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department of Health and Social Care (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Driver and Vehicle Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Education and Skills Funding Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Education and Skills Funding Agency","Statistics","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Estyn","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Estyn","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Food Standards Agency","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Food Standards Agency","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Food Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Food Standards Agency","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Food Standards Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Government Actuary's Department","Other","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","Government Legal Department","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Government Legal Department","Project Delivery","[c]","[c]","[c]","[c]"
