"Status","Year","Ethnicity","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cabinet Office","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Chancellor's other departments","30","30","50530","46970"
"In post","2023","Asian","Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Competition and Markets Authority","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy","35","35","43410","35190"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education","50","50","43210","43250"
"In post","2023","Asian","Analysis","Department for Environment, Food and Rural Affairs","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Department for International Trade","30","30","50050","55370"
"In post","2023","Asian","Analysis","Department for Levelling Up, Housing and Communities","30","30","45180","44180"
"In post","2023","Asian","Analysis","Department for Transport","30","30","46930","43750"
"In post","2023","Asian","Analysis","Department for Work and Pensions","45","45","41950","39150"
"In post","2023","Asian","Analysis","Department of Health and Social Care","45","40","36700","33500"
"In post","2023","Asian","Analysis","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Foreign, Commonwealth and Development Office","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Revenue and Customs","110","105","47330","44930"
"In post","2023","Asian","Analysis","HM Treasury","35","35","40440","35530"
"In post","2023","Asian","Analysis","Home Office","40","40","43880","38620"
"In post","2023","Asian","Analysis","Ministry of Defence","35","35","37670","37420"
"In post","2023","Asian","Analysis","Ministry of Justice","75","75","45720","43650"
"In post","2023","Asian","Analysis","Office for Standards in Education, Children's Services and Skills","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","Office of Gas and Electricity Markets","35","35","45350","40000"
"In post","2023","Asian","Analysis","Office of Rail and Road","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","UK Statistics Authority","75","75","36920","37690"
"In post","2023","Asian","Analysis","Water Services Regulation Authority","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Attorney General's Departments","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Cabinet Office","100","100","63890","65500"
"In post","2023","Asian","Commercial","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Digital, Culture, Media and Sport","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Education","30","30","43070","39160"
"In post","2023","Asian","Commercial","Department for Environment, Food and Rural Affairs","15","15","[c]","[c]"
"In post","2023","Asian","Commercial","Department for International Trade","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Levelling Up, Housing and Communities","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Transport","25","25","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department of Health and Social Care","40","35","43410","41330"
"In post","2023","Asian","Commercial","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Foreign, Commonwealth and Development Office","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","HM Revenue and Customs","20","20","[c]","[c]"
