"Status","Year","Ethnicity","Function_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","London","Female","275","270","45720","41540"
"In post","2023","Asian","Analysis","London","Male","280","275","45680","41840"
"In post","2023","Asian","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Outside London","Female","120","115","37650","35330"
"In post","2023","Asian","Analysis","Outside London","Male","115","110","38170","36830"
"In post","2023","Asian","Analysis","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","London","Female","125","120","48580","42030"
"In post","2023","Asian","Commercial","London","Male","115","115","53920","48000"
"In post","2023","Asian","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Outside London","Female","85","85","39110","34850"
"In post","2023","Asian","Commercial","Outside London","Male","95","95","43810","35830"
"In post","2023","Asian","Commercial","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","London","Female","95","90","42130","39460"
"In post","2023","Asian","Communications","London","Male","50","50","43480","40640"
"In post","2023","Asian","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Outside London","Female","25","25","[c]","[c]"
"In post","2023","Asian","Communications","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Asian","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","London","Female","375","340","34270","32520"
"In post","2023","Asian","Counter Fraud","London","Male","275","270","36070","32540"
"In post","2023","Asian","Counter Fraud","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Outside London","Female","415","380","30240","28130"
"In post","2023","Asian","Counter Fraud","Outside London","Male","405","400","31600","28130"
"In post","2023","Asian","Counter Fraud","Outside London","Unknown","[c]","[c]","[c]","[c]"
