"Status","Year","Ethnicity","Function_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","London","555","545","45700","41770"
"In post","2023","Asian","Analysis","Outside London","235","230","37900","35790"
"In post","2023","Asian","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","London","235","235","51130","43750"
"In post","2023","Asian","Commercial","Outside London","180","180","41610","35550"
"In post","2023","Asian","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","London","140","140","42590","39790"
"In post","2023","Asian","Communications","Outside London","35","35","37190","33560"
"In post","2023","Asian","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","London","650","610","35030","32520"
"In post","2023","Asian","Counter Fraud","Outside London","820","775","30910","28130"
"In post","2023","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Debt","London","165","145","28120","26920"
"In post","2023","Asian","Debt","Outside London","930","825","23380","22520"
"In post","2023","Asian","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","London","875","860","47820","43650"
"In post","2023","Asian","Digital, Data & Technology","Outside London","1080","1065","40590","38010"
"In post","2023","Asian","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","London","610","595","45780","42970"
"In post","2023","Asian","Finance","Outside London","575","555","35900","34170"
"In post","2023","Asian","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","London","5","5","[c]","[c]"
"In post","2023","Asian","Grants Management","Outside London","55","50","23680","22150"
"In post","2023","Asian","Human Resources","London","410","395","41690","38590"
"In post","2023","Asian","Human Resources","Outside London","370","360","34380","32340"
"In post","2023","Asian","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","London","60","55","47590","46200"
"In post","2023","Asian","Internal Audit","Outside London","40","40","44180","42700"
"In post","2023","Asian","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","London","785","740","47730","52020"
"In post","2023","Asian","Legal","Outside London","625","590","40140","37680"
