"Status","Year","Ethnicity","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Attorney General's Departments","East Midlands (England)","75","75","35870","28850"
"In post","2023","Asian","Attorney General's Departments","East of England","50","45","44530","40800"
"In post","2023","Asian","Attorney General's Departments","London","755","710","45290","45230"
"In post","2023","Asian","Attorney General's Departments","North East (England)","15","15","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","North West (England)","70","65","41010","44000"
"In post","2023","Asian","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","South East (England)","40","35","40260","32660"
"In post","2023","Asian","Attorney General's Departments","South West (England)","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Wales","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","West Midlands (England)","135","130","36410","28850"
"In post","2023","Asian","Attorney General's Departments","Yorkshire and The Humber","75","70","41930","47140"
"In post","2023","Asian","Cabinet Office","East Midlands (England)","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","London","545","540","46080","41870"
"In post","2023","Asian","Cabinet Office","North East (England)","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office","North West (England)","55","55","37710","33020"
"In post","2023","Asian","Cabinet Office","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Scotland","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office","South East (England)","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office","South West (England)","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Wales","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office","West Midlands (England)","60","60","39710","32960"
"In post","2023","Asian","Cabinet Office","Yorkshire and The Humber","30","30","44490","35650"
"In post","2023","Asian","Chancellor's other departments","London","55","55","50180","46910"
"In post","2023","Asian","Chancellor's other departments","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","London","5","5","[c]","[c]"
"In post","2023","Asian","Charity Commission","North West (England)","5","5","[c]","[c]"
"In post","2023","Asian","Charity Commission","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","London","120","120","50010","43560"
"In post","2023","Asian","Competition and Markets Authority","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","East Midlands (England)","10","10","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","London","625","615","46190","41360"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","North West (England)","40","40","34330","31350"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Scotland","10","5","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","South East (England)","10","10","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","South West (England)","35","35","34690","33430"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Wales","50","50","39170","40500"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","West Midlands (England)","155","150","33420","31350"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","15","15","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","London","130","130","47770","52760"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","North West (England)","15","15","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","East Midlands (England)","30","30","42990","38210"
"In post","2023","Asian","Department for Education","East of England","10","10","[c]","[c]"
"In post","2023","Asian","Department for Education","London","295","285","46120","42170"
"In post","2023","Asian","Department for Education","North East (England)","15","15","[c]","[c]"
"In post","2023","Asian","Department for Education","North West (England)","125","125","37680","37590"
"In post","2023","Asian","Department for Education","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","South West (England)","15","15","[c]","[c]"
"In post","2023","Asian","Department for Education","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","West Midlands (England)","275","270","39580","37590"
"In post","2023","Asian","Department for Education","Yorkshire and The Humber","100","100","39010","37590"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","East Midlands (England)","15","15","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","East of England","20","20","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","London","215","210","41670","38140"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","North East (England)","15","15","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","North West (England)","25","25","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Scotland","5","5","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","South East (England)","105","105","34270","29150"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","South West (England)","40","40","32090","25920"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Wales","5","5","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","West Midlands (England)","35","35","34910","30320"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","30","30","32670","30320"
"In post","2023","Asian","Department for International Trade","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","London","270","265","46040","41550"
"In post","2023","Asian","Department for International Trade","North East (England)","5","5","[c]","[c]"
"In post","2023","Asian","Department for International Trade","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Overseas","15","15","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","West Midlands (England)","10","10","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","East of England","5","5","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","London","210","205","47050","40800"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","North West (England)","5","5","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","South West (England)","15","15","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","West Midlands (England)","60","60","37650","33990"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","Yorkshire and The Humber","15","15","[c]","[c]"
"In post","2023","Asian","Department for Transport","East Midlands (England)","35","35","30850","31660"
"In post","2023","Asian","Department for Transport","East of England","20","20","[c]","[c]"
"In post","2023","Asian","Department for Transport","London","350","340","46320","43750"
"In post","2023","Asian","Department for Transport","North East (England)","5","5","[c]","[c]"
"In post","2023","Asian","Department for Transport","North West (England)","10","10","[c]","[c]"
"In post","2023","Asian","Department for Transport","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","Scotland","10","10","[c]","[c]"
"In post","2023","Asian","Department for Transport","South East (England)","40","40","37140","31510"
"In post","2023","Asian","Department for Transport","South West (England)","10","10","[c]","[c]"
"In post","2023","Asian","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","Wales","80","75","30770","22500"
"In post","2023","Asian","Department for Transport","West Midlands (England)","120","115","28890","26960"
"In post","2023","Asian","Department for Transport","Yorkshire and The Humber","30","30","34750","31350"
"In post","2023","Asian","Department for Work and Pensions","East Midlands (England)","600","525","26100","28120"
"In post","2023","Asian","Department for Work and Pensions","East of England","385","335","28990","28120"
"In post","2023","Asian","Department for Work and Pensions","London","2350","2115","33230","32520"
"In post","2023","Asian","Department for Work and Pensions","North East (England)","235","220","30600","28120"
"In post","2023","Asian","Department for Work and Pensions","North West (England)","1175","1070","27420","28120"
"In post","2023","Asian","Department for Work and Pensions","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions","Scotland","120","110","28940","28120"
"In post","2023","Asian","Department for Work and Pensions","South East (England)","360","320","30160","31280"
"In post","2023","Asian","Department for Work and Pensions","South West (England)","75","65","27450","28120"
"In post","2023","Asian","Department for Work and Pensions","Unknown","30","30","28700","28120"
"In post","2023","Asian","Department for Work and Pensions","Wales","65","65","27700","28120"
"In post","2023","Asian","Department for Work and Pensions","West Midlands (England)","1500","1355","26870","28120"
"In post","2023","Asian","Department for Work and Pensions","Yorkshire and The Humber","990","900","28590","28120"
"In post","2023","Asian","Department of Health and Social Care","East Midlands (England)","10","10","[c]","[c]"
"In post","2023","Asian","Department of Health and Social Care","East of England","65","65","51210","41900"
"In post","2023","Asian","Department of Health and Social Care","London","830","805","44970","41190"
"In post","2023","Asian","Department of Health and Social Care","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department of Health and Social Care","North West (England)","35","35","33700","27060"
"In post","2023","Asian","Department of Health and Social Care","Northern Ireland","[c]","[c]","[c]","[c]"
