"Status","Year","Ethnicity","Parent_department","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Attorney General's Departments","London","Heterosexual / straight","645","610","44850","45230"
"In post","2023","Asian","Attorney General's Departments","London","LGBO","25","20","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","London","Undeclared","20","20","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","London","Unknown","65","55","46900","52730"
"In post","2023","Asian","Attorney General's Departments","Outside London","Heterosexual / straight","405","380","39040","38760"
"In post","2023","Asian","Attorney General's Departments","Outside London","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Outside London","Unknown","55","45","40210","33760"
"In post","2023","Asian","Attorney General's Departments","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","London","Heterosexual / straight","390","380","49170","43470"
"In post","2023","Asian","Cabinet Office","London","LGBO","20","20","[c]","[c]"
"In post","2023","Asian","Cabinet Office","London","Undeclared","15","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office","London","Unknown","125","125","36590","30130"
"In post","2023","Asian","Cabinet Office","Outside London","Heterosexual / straight","145","145","41110","34250"
"In post","2023","Asian","Cabinet Office","Outside London","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Outside London","Unknown","45","45","36050","30130"
"In post","2023","Asian","Cabinet Office","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","London","Heterosexual / straight","45","45","50760","45610"
"In post","2023","Asian","Chancellor's other departments","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","London","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Asian","Charity Commission","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","London","Heterosexual / straight","105","105","49330","38190"
"In post","2023","Asian","Competition and Markets Authority","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","London","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","London","Heterosexual / straight","540","530","46480","41360"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","London","LGBO","30","30","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","London","Undeclared","35","35","46430","41450"
