"Status","Year","Ethnicity","Profession_of_post","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Commercial","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","East Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","East Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","East Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","East of England","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","East of England","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","East of England","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","East of England","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","East of England","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","London","AO","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","London","EO","20","15","[c]","[c]"
"In post","2023","Asian","Commercial","London","G6","20","20","[c]","[c]"
"In post","2023","Asian","Commercial","London","G7","55","55","61600","60410"
"In post","2023","Asian","Commercial","London","HEO","55","55","35500","35410"
"In post","2023","Asian","Commercial","London","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","London","SEO","40","40","43700","43750"
"In post","2023","Asian","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","North East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","North East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","North East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","North East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","North East (England)","SCS level","[c]","[c]","[c]","[c]"
