"Status","Year","Ethnicity","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Commercial","Heterosexual / straight","335","325","44990","38850"
"In post","2023","Asian","Commercial","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Undeclared","20","20","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","50","50","53450","48550"
"In post","2023","Asian","Communications","Heterosexual / straight","155","155","40080","37880"
"In post","2023","Asian","Communications","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Asian","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Heterosexual / straight","710","670","30900","28130"
"In post","2023","Asian","Counter Fraud","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Undeclared","40","35","30390","28120"
"In post","2023","Asian","Counter Fraud","Unknown","95","85","29540","28120"
"In post","2023","Asian","Digital, Data and Technology","Heterosexual / straight","1530","1510","45230","41870"
"In post","2023","Asian","Digital, Data and Technology","LGBO","55","55","42940","41420"
"In post","2023","Asian","Digital, Data and Technology","Undeclared","95","90","44660","42160"
"In post","2023","Asian","Digital, Data and Technology","Unknown","125","120","42550","39370"
"In post","2023","Asian","Economics","Heterosexual / straight","205","200","45240","40030"
"In post","2023","Asian","Economics","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Economics","Undeclared","15","15","[c]","[c]"
"In post","2023","Asian","Economics","Unknown","15","15","[c]","[c]"
"In post","2023","Asian","Finance","Heterosexual / straight","840","815","42520","39150"
"In post","2023","Asian","Finance","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Finance","Undeclared","50","50","41870","39820"
"In post","2023","Asian","Finance","Unknown","65","60","39520","36520"
"In post","2023","Asian","Geography","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Heterosexual / straight","605","585","39080","36180"
"In post","2023","Asian","Human Resources","LGBO","15","15","[c]","[c]"
"In post","2023","Asian","Human Resources","Undeclared","25","25","[c]","[c]"
"In post","2023","Asian","Human Resources","Unknown","30","30","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Heterosexual / straight","175","170","33980","30200"
"In post","2023","Asian","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Undeclared","15","10","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Internal Audit","Heterosexual / straight","90","90","47100","43430"
"In post","2023","Asian","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Internal Audit","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","International Trade","Heterosexual / straight","140","140","46970","41550"
"In post","2023","Asian","International Trade","LGBO","15","15","[c]","[c]"
"In post","2023","Asian","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Heterosexual / straight","120","115","36960","35000"
"In post","2023","Asian","Knowledge and Information Management","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Undeclared","5","5","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Legal","Heterosexual / straight","925","875","50810","52020"
"In post","2023","Asian","Legal","LGBO","25","25","[c]","[c]"
"In post","2023","Asian","Legal","Undeclared","35","30","49860","47100"
"In post","2023","Asian","Legal","Unknown","100","90","52730","54400"
