"Status","Year","Ethnicity","Region_ITL2","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Bedford","Outside London","95","85","30060","28120"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","Outside London","15","10","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","Outside London","440","405","35530","31280"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Luton","Outside London","120","105","27510","27000"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Outside London","300","275","31980","31280"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Outside London","105","100","32830","29140"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Outside London","130","120","34150","28540"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Outside London","95","90","33460","28480"
"In post","2023","Asian","Cheshire","Cheshire East","Outside London","45","45","28630","27140"
"In post","2023","Asian","Cheshire","Cheshire West and Chester","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Cheshire","Warrington","Outside London","40","35","36120","34670"
"In post","2023","Asian","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Cumbria","East Cumbria","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Cumbria","West Cumbria","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","Derby","Outside London","130","115","27080","28120"
"In post","2023","Asian","Derbyshire and Nottinghamshire","East Derbyshire","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","North Nottinghamshire","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","Nottingham","Outside London","840","790","32600","28130"
"In post","2023","Asian","Derbyshire and Nottinghamshire","South Nottinghamshire","Outside London","35","30","33020","30320"
"In post","2023","Asian","Derbyshire and Nottinghamshire","South and West Derbyshire","Outside London","30","25","[c]","[c]"
"In post","2023","Asian","Devon","Devon CC","Outside London","55","50","34520","30930"
"In post","2023","Asian","Devon","Plymouth","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Devon","Torbay","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","Bournemouth, Christchurch and Poole","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","Dorset","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","Somerset CC","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","East Anglia","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Anglia","Cambridgeshire CC","Outside London","90","85","37040","32570"
"In post","2023","Asian","East Anglia","North and West Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Anglia","Norwich and East Norfolk","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","East Anglia","Peterborough","Outside London","225","185","25560","22400"
"In post","2023","Asian","East Anglia","Suffolk CC","Outside London","50","50","30170","28120"
"In post","2023","Asian","East Wales","Cardiff and Vale of Glamorgan","Outside London","320","310","33260","28130"
"In post","2023","Asian","East Wales","Flintshire and Wrexham","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","East Wales","Monmouthshire and Newport","Outside London","140","130","36700","34530"
"In post","2023","Asian","East Wales","Powys","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","Outside London","15","15","[c]","[c]"
