"Status","Year","Ethnicity","Region_ITL2","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Bedfordshire and Hertfordshire","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","AA","Male","5","5","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","AO","Female","125","100","24910","25610"
"In post","2023","Asian","Bedfordshire and Hertfordshire","AO","Male","50","50","27430","25610"
"In post","2023","Asian","Bedfordshire and Hertfordshire","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","EO","Female","155","135","29880","30930"
"In post","2023","Asian","Bedfordshire and Hertfordshire","EO","Male","95","95","29670","28630"
"In post","2023","Asian","Bedfordshire and Hertfordshire","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","G6","Female","10","10","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","G7","Female","20","20","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","G7","Male","15","15","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","HEO","Female","45","40","36750","37520"
"In post","2023","Asian","Bedfordshire and Hertfordshire","HEO","Male","30","30","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","SEO","Female","35","35","43760","42130"
"In post","2023","Asian","Bedfordshire and Hertfordshire","SEO","Male","20","20","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Unknown","Female","35","35","29530","29050"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","AA","Female","10","5","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","AA","Male","25","25","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","AO","Female","95","80","24210","23190"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","AO","Male","75","75","28050","26400"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","EO","Female","150","135","29870","29990"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","EO","Male","70","70","29700","28480"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","G6","Male","5","5","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","G7","Female","15","15","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","G7","Male","20","20","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","HEO","Female","45","40","35410","34970"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","HEO","Male","35","30","37170","35540"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","SEO","Female","30","30","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","SEO","Male","20","20","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Female","25","20","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Male","15","10","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","AO","Female","10","10","[c]","[c]"
"In post","2023","Asian","Cheshire","AO","Male","10","10","[c]","[c]"
"In post","2023","Asian","Cheshire","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","EO","Female","15","15","[c]","[c]"
"In post","2023","Asian","Cheshire","EO","Male","10","10","[c]","[c]"
"In post","2023","Asian","Cheshire","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","HEO","Female","10","10","[c]","[c]"
"In post","2023","Asian","Cheshire","HEO","Male","15","15","[c]","[c]"
"In post","2023","Asian","Cheshire","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","SEO","Female","[c]","[c]","[c]","[c]"
