"Status","Year","Ethnicity","Region_ITL3","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Aberdeen City and Aberdeenshire","Outside London","Female","15","10","[c]","[c]"
"In post","2023","Asian","Aberdeen City and Aberdeenshire","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Asian","Aberdeen City and Aberdeenshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Angus and Dundee City","Outside London","Female","30","25","28160","26300"
"In post","2023","Asian","Angus and Dundee City","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Asian","Angus and Dundee City","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Antrim and Newtownabbey","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Antrim and Newtownabbey","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Antrim and Newtownabbey","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ards and North Down","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ards and North Down","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ards and North Down","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Armagh City, Banbridge and Craigavon","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Armagh City, Banbridge and Craigavon","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Armagh City, Banbridge and Craigavon","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Barking & Dagenham and Havering","London","Female","105","90","32720","32520"
"In post","2023","Asian","Barking & Dagenham and Havering","London","Male","70","65","32870","32520"
"In post","2023","Asian","Barking & Dagenham and Havering","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Barnet","London","Female","280","260","39240","32750"
"In post","2023","Asian","Barnet","London","Male","150","145","42950","39180"
"In post","2023","Asian","Barnet","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Barnsley, Doncaster and Rotherham","Outside London","Female","15","10","[c]","[c]"
"In post","2023","Asian","Barnsley, Doncaster and Rotherham","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Asian","Barnsley, Doncaster and Rotherham","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Female","165","150","36280","33220"
"In post","2023","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Male","240","235","39290","38300"
"In post","2023","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedford","Outside London","Female","60","55","29240","28120"
"In post","2023","Asian","Bedford","Outside London","Male","30","30","31630","28120"
"In post","2023","Asian","Bedford","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Belfast","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Asian","Belfast","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Asian","Belfast","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire","Outside London","Female","210","185","31350","31280"
"In post","2023","Asian","Berkshire","Outside London","Male","90","90","33400","31280"
"In post","2023","Asian","Berkshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bexley and Greenwich","London","Female","60","50","31780","30930"
"In post","2023","Asian","Bexley and Greenwich","London","Male","50","50","34000","32520"
"In post","2023","Asian","Bexley and Greenwich","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Birmingham","Outside London","Female","1900","1730","29130","27650"
"In post","2023","Asian","Birmingham","Outside London","Male","1585","1545","30570","28120"
"In post","2023","Asian","Birmingham","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Blackburn with Darwen","Outside London","Female","45","40","28000","28120"
"In post","2023","Asian","Blackburn with Darwen","Outside London","Male","55","55","28490","28120"
"In post","2023","Asian","Blackburn with Darwen","Outside London","Unknown","[c]","[c]","[c]","[c]"
