"Status","Year","Ethnicity","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","AA/AO","Female","Heterosexual / straight","3935","3345","23410","22520"
"In post","2023","Asian","AA/AO","Female","LGBO","105","85","24240","22520"
"In post","2023","Asian","AA/AO","Female","Undeclared","400","330","23630","22520"
"In post","2023","Asian","AA/AO","Female","Unknown","605","465","23380","22520"
"In post","2023","Asian","AA/AO","Male","Heterosexual / straight","3280","3125","24150","22520"
"In post","2023","Asian","AA/AO","Male","LGBO","85","80","23720","22520"
"In post","2023","Asian","AA/AO","Male","Undeclared","190","175","23630","22520"
"In post","2023","Asian","AA/AO","Male","Unknown","350","320","23450","22520"
"In post","2023","Asian","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","AA/AO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","AA/AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","EO","Female","Heterosexual / straight","4865","4420","29370","28220"
"In post","2023","Asian","EO","Female","LGBO","95","85","29640","28130"
"In post","2023","Asian","EO","Female","Undeclared","365","315","29580","29660"
"In post","2023","Asian","EO","Female","Unknown","595","505","29760","28130"
"In post","2023","Asian","EO","Male","Heterosexual / straight","3870","3780","29250","28120"
"In post","2023","Asian","EO","Male","LGBO","80","80","29180","28120"
"In post","2023","Asian","EO","Male","Undeclared","190","180","29210","28120"
"In post","2023","Asian","EO","Male","Unknown","340","330","29480","28130"
"In post","2023","Asian","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","EO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","G6/G7","Female","Heterosexual / straight","2045","1975","59970","57970"
"In post","2023","Asian","G6/G7","Female","LGBO","40","40","58290","55770"
"In post","2023","Asian","G6/G7","Female","Undeclared","110","105","59790","57970"
"In post","2023","Asian","G6/G7","Female","Unknown","160","145","60950","59560"
"In post","2023","Asian","G6/G7","Male","Heterosexual / straight","1680","1660","60700","58980"
"In post","2023","Asian","G6/G7","Male","LGBO","80","80","58820","56450"
"In post","2023","Asian","G6/G7","Male","Undeclared","70","70","60140","58700"
"In post","2023","Asian","G6/G7","Male","Unknown","155","155","62060","61230"
"In post","2023","Asian","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","G6/G7","Unknown","Undeclared","[c]","[c]","[c]","[c]"
