"Status","Year","Function_of_post","Organisation","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Active Travel England","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","North West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","South West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","London","HEO","10","10","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","North East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","North West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","North West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","East Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","South West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","East Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","East of England","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","London","HEO","80","80","31050","30130"
"In post","2023","Analysis","Central Civil Service Fast Stream","North East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","North West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Scotland","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","South East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","South West (England)","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","West Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Yorkshire and The Humber","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","AO","15","15","21600","22150"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","EO","55","50","25990","25920"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","G6","15","15","63940","60300"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","G7","60","55","50040","49400"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","HEO","105","100","30570","30350"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","SEO","90","90","37820","37310"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","EO","50","45","26000","25970"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","G6","5","5","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","G7","15","15","50010","49400"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","HEO","50","45","30570","30350"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","SCS level","[c]","[c]","[c]","[c]"
