"Status","Year","Function_of_post","Organisation","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Active Travel England","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","North Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","North Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","East Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","East Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Greater Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Greater Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Inner London - West","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Inner London - West","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Tees Valley and Durham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Tees Valley and Durham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Inner London - West","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","West Central Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","West Central Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
