"Status","Year","Function_of_post","Parent_department","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Attorney General's Departments","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","SEO/HEO","115","115","31290","30130"
"In post","2023","Analysis","Cabinet Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Operational Research","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Other","EO","15","15","30090","30090"
"In post","2023","Analysis","Chancellor's other departments","Other","G6/G7","125","115","86310","81290"
"In post","2023","Analysis","Chancellor's other departments","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Other","SEO/HEO","60","60","42540","43020"
"In post","2023","Analysis","Charity Commission","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Intelligence Analysis","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Statistics","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Economics","G6/G7","65","60","66380","64780"
"In post","2023","Analysis","Competition and Markets Authority","Economics","SCS level","15","15","111030","101830"
"In post","2023","Analysis","Competition and Markets Authority","Economics","SEO/HEO","25","25","34800","34110"
"In post","2023","Analysis","Competition and Markets Authority","Intelligence Analysis","G6/G7","15","15","63700","58190"
"In post","2023","Analysis","Competition and Markets Authority","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Intelligence Analysis","SEO/HEO","10","10","44130","45190"
"In post","2023","Analysis","Competition and Markets Authority","Statistics","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Economics","EO","35","35","28170","28720"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Economics","G6/G7","35","30","64470","61660"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Economics","SCS level","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Economics","SEO/HEO","95","95","36960","34740"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","EO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","SEO/HEO","35","35","39280","41150"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","EO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Policy","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Social Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","G6/G7","15","15","61090","59370"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","SEO/HEO","25","25","41390","41240"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Economics","G6/G7","40","40","58670","57030"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Economics","SEO/HEO","25","25","39400","39330"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","G6/G7","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","SEO/HEO","15","15","38090","39040"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Social Research","G6/G7","15","15","57580","57030"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Social Research","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Statistics","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Statistics","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Digital, Data and Technology","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education","Economics","EO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education","Economics","G6/G7","35","35","58330","55020"
"In post","2023","Analysis","Department for Education","Economics","SCS level","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education","Economics","SEO/HEO","35","35","41550","43250"
"In post","2023","Analysis","Department for Education","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Operational Research","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education","Operational Research","G6/G7","40","35","57390","55380"
"In post","2023","Analysis","Department for Education","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Operational Research","SEO/HEO","50","50","41240","43250"
"In post","2023","Analysis","Department for Education","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Social Research","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education","Social Research","G6/G7","45","40","57220","55020"
"In post","2023","Analysis","Department for Education","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Social Research","SEO/HEO","85","80","42150","43250"
"In post","2023","Analysis","Department for Education","Statistics","EO","10","10","30130","30560"
"In post","2023","Analysis","Department for Education","Statistics","G6/G7","75","70","56070","55020"
"In post","2023","Analysis","Department for Education","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Statistics","SEO/HEO","180","170","40110","42170"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","EO","15","15","26060","25920"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","SEO/HEO","20","20","32960","30320"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Other","EO","10","10","25980","25940"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Other","G6/G7","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Other","SEO/HEO","20","20","34690","37300"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","AA/AO","15","15","21630","22150"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","EO","95","90","26000","25920"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","G6/G7","90","85","52870","49400"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
