"Status","Year","Function_of_post","Parent_department","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Attorney General's Departments","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Other","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Other","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Digital, Data and Technology","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","Female","55","55","31110","30130"
"In post","2023","Analysis","Cabinet Office","Statistics","Male","65","65","33050","30130"
"In post","2023","Analysis","Cabinet Office","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Other","Female","75","65","69730","67770"
"In post","2023","Analysis","Chancellor's other departments","Other","Male","130","125","70680","65800"
"In post","2023","Analysis","Charity Commission","Intelligence Analysis","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Intelligence Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Statistics","Female","[c]","[c]","[c]","[c]"
