"Status","Year","Function_of_post","Profession_of_post","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","East Anglia","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","East Wales","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","East Wales","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","East Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","East Wales","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Eastern Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Eastern Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Eastern Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Greater Manchester","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Inner London - East","G6","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Inner London - East","G7","15","15","57200","55720"
"In post","2023","Analysis","Digital, Data and Technology","Inner London - East","HEO","15","15","35520","35410"
"In post","2023","Analysis","Digital, Data and Technology","Inner London - East","SEO","20","20","43640","43650"
"In post","2023","Analysis","Digital, Data and Technology","Inner London - West","G6","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Inner London - West","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Inner London - West","HEO","10","10","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Inner London - West","SEO","10","10","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Merseyside","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Merseyside","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Northumberland, and Tyne and Wear","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Outer London - South","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Outer London - South","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","South Yorkshire","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","South Yorkshire","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","South Yorkshire","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","South Yorkshire","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Central Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Central Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Central Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Midlands","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Midlands","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Midlands","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Wales and The Valleys","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Wales and The Valleys","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Wales and The Valleys","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Yorkshire","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Yorkshire","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Bedfordshire and Hertfordshire","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Bedfordshire and Hertfordshire","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Berkshire, Buckinghamshire and Oxfordshire","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Berkshire, Buckinghamshire and Oxfordshire","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Cumbria","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Derbyshire and Nottinghamshire","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Derbyshire and Nottinghamshire","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Devon","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","East Wales","AO","20","20","21390","21200"
"In post","2023","Analysis","Economics","East Wales","EO","10","10","24840","24840"
"In post","2023","Analysis","Economics","East Wales","G6","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","East Wales","G7","20","20","53890","52490"
"In post","2023","Analysis","Economics","East Wales","HEO","40","40","31810","31560"
"In post","2023","Analysis","Economics","East Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","East Wales","SEO","15","15","40100","39300"
"In post","2023","Analysis","Economics","Eastern Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Eastern Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Eastern Scotland","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","Eastern Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Eastern Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Gloucestershire, Wiltshire and Bath/Bristol area","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","Gloucestershire, Wiltshire and Bath/Bristol area","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Gloucestershire, Wiltshire and Bath/Bristol area","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Greater Manchester","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Greater Manchester","EO","15","15","26740","26940"
"In post","2023","Analysis","Economics","Greater Manchester","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Greater Manchester","G7","15","15","55130","55130"
"In post","2023","Analysis","Economics","Greater Manchester","HEO","35","35","34660","34670"
"In post","2023","Analysis","Economics","Greater Manchester","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Greater Manchester","SEO","15","15","41420","41780"
"In post","2023","Analysis","Economics","Hampshire and Isle of Wight","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Hampshire and Isle of Wight","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Hampshire and Isle of Wight","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","Hampshire and Isle of Wight","HEO","15","15","31450","31560"
"In post","2023","Analysis","Economics","Hampshire and Isle of Wight","SEO","[c]","[c]","[c]","[c]"
