"Status","Year","Function_of_post","Profession_of_post","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Bristol, City of","Outside London","20","20","45280","41710"
"In post","2023","Analysis","Digital, Data and Technology","Cardiff and Vale of Glamorgan","Outside London","10","10","43200","38760"
"In post","2023","Analysis","Digital, Data and Technology","Central Valleys","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","City of Edinburgh","Outside London","10","10","43060","39590"
"In post","2023","Analysis","Digital, Data and Technology","Coventry","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Croydon","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Glasgow City","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Greater Manchester South West","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Leeds","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Liverpool","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Mid and East Antrim","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Monmouthshire and Newport","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Sheffield","Outside London","15","15","42240","39090"
"In post","2023","Analysis","Digital, Data and Technology","Suffolk CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Tower Hamlets","London","60","55","48090","43650"
"In post","2023","Analysis","Digital, Data and Technology","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Westminster","London","30","30","50890","45040"
"In post","2023","Analysis","Economics","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Birmingham","Outside London","35","35","50730","38760"
"In post","2023","Analysis","Economics","Bristol, City of","Outside London","10","10","43520","43250"
"In post","2023","Analysis","Economics","Calderdale and Kirklees","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Camden and City of London","London","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","City of Edinburgh","Outside London","10","10","47050","34620"
"In post","2023","Analysis","Economics","Coventry","Outside London","[c]","[c]","[c]","[c]"
