"Status","Year","Function_of_post","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","G6/G7","60","60","59970","56430"
"In post","2023","Analysis","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","SEO/HEO","110","110","38500","37680"
"In post","2023","Analysis","Economics","AA/AO","60","60","23030","22520"
"In post","2023","Analysis","Economics","EO","170","165","27780","28510"
"In post","2023","Analysis","Economics","G6/G7","755","730","61290","57970"
"In post","2023","Analysis","Economics","SCS level","85","80","92190","84240"
"In post","2023","Analysis","Economics","SEO/HEO","735","730","37240","35730"
"In post","2023","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","G6/G7","10","10","[c]","[c]"
"In post","2023","Analysis","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","SEO/HEO","20","20","37660","38410"
"In post","2023","Analysis","Human Resources","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","EO","15","15","25570","25040"
"In post","2023","Analysis","Intelligence Analysis","G6/G7","30","30","60570","58050"
"In post","2023","Analysis","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","SEO/HEO","80","75","38350","39640"
"In post","2023","Analysis","International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","G6/G7","15","15","59930","58970"
"In post","2023","Analysis","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","SEO/HEO","30","30","38010","34970"
"In post","2023","Analysis","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","AA/AO","25","25","22220","21200"
"In post","2023","Analysis","Operational Delivery","EO","210","190","26850","26070"
"In post","2023","Analysis","Operational Delivery","G6/G7","85","85","55230","51770"
"In post","2023","Analysis","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","SEO/HEO","440","425","35200","34740"
"In post","2023","Analysis","Operational Research","AA/AO","25","20","22050","22500"
"In post","2023","Analysis","Operational Research","EO","30","30","28120","27450"
"In post","2023","Analysis","Operational Research","G6/G7","315","295","57810","57970"
"In post","2023","Analysis","Operational Research","SCS level","10","10","81710","80500"
"In post","2023","Analysis","Operational Research","SEO/HEO","420","405","38350","38850"
"In post","2023","Analysis","Other","AA/AO","10","10","24130","24010"
"In post","2023","Analysis","Other","EO","90","85","29110","29660"
"In post","2023","Analysis","Other","G6/G7","215","200","74980","67430"
"In post","2023","Analysis","Other","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","Other","SEO/HEO","270","260","38480","37680"
"In post","2023","Analysis","Planning","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","AA/AO","5","5","[c]","[c]"
"In post","2023","Analysis","Policy","EO","15","15","29900","29310"
"In post","2023","Analysis","Policy","G6/G7","100","95","61470","58370"
"In post","2023","Analysis","Policy","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","Policy","SEO/HEO","125","125","39390","39150"
"In post","2023","Analysis","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Project Delivery","SEO/HEO","15","15","36940","35700"
"In post","2023","Analysis","Science and Engineering","AA/AO","50","50","22860","23340"
"In post","2023","Analysis","Science and Engineering","EO","110","105","26010","25970"
"In post","2023","Analysis","Science and Engineering","G6/G7","540","515","54880","49400"
"In post","2023","Analysis","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","SEO/HEO","635","620","35120","37300"
"In post","2023","Analysis","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Social Research","EO","20","20","28490","27140"
"In post","2023","Analysis","Social Research","G6/G7","445","425","58980","57970"
"In post","2023","Analysis","Social Research","SCS level","15","15","80310","79150"
"In post","2023","Analysis","Social Research","SEO/HEO","945","905","37950","39190"
"In post","2023","Analysis","Statistics","AA/AO","50","45","23600","23500"
"In post","2023","Analysis","Statistics","EO","215","205","28830","28580"
"In post","2023","Analysis","Statistics","G6/G7","835","795","59490","58340"
"In post","2023","Analysis","Statistics","SCS level","70","65","86460","80500"
"In post","2023","Analysis","Statistics","SEO/HEO","1560","1515","38240","38470"
"In post","2023","Analysis","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","EO","25","25","27330","26500"
"In post","2023","Analysis","Unknown","G6/G7","75","75","61200","60000"
"In post","2023","Analysis","Unknown","SCS level","5","5","[c]","[c]"
"In post","2023","Analysis","Unknown","SEO/HEO","65","65","37470","37440"
"In post","2023","Commercial","Commercial","AA/AO","325","305","23630","22500"
"In post","2023","Commercial","Commercial","EO","615","590","27580","27140"
"In post","2023","Commercial","Commercial","G6/G7","1995","1955","64120","65410"
"In post","2023","Commercial","Commercial","SCS level","265","260","115500","110130"
"In post","2023","Commercial","Commercial","SEO/HEO","2895","2815","38130","38050"
"In post","2023","Commercial","Commercial","Unknown","165","165","42960","42620"
"In post","2023","Commercial","Communications","G6/G7","[c]","[c]","[c]","[c]"
