"Status","Year","Function_of_post","Region_ITL2","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","Outside London","SEO/HEO","15","15","41390","41480"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SEO/HEO","10","10","38280","38540"
"In post","2023","Analysis","Cheshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cheshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cheshire","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cornwall and Isles of Scilly","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Cornwall and Isles of Scilly","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Cumbria","Outside London","EO","10","10","[c]","[c]"
"In post","2023","Analysis","Cumbria","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cumbria","Outside London","SEO/HEO","10","10","35120","37300"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","Outside London","EO","10","5","[c]","[c]"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","Outside London","G6/G7","25","25","56700","55250"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","Outside London","SEO/HEO","70","70","37020","36380"
"In post","2023","Analysis","Devon","Outside London","EO","10","10","26270","25920"
"In post","2023","Analysis","Devon","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Devon","Outside London","SEO/HEO","20","20","36080","34510"
"In post","2023","Analysis","Dorset and Somerset","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2023","Analysis","Dorset and Somerset","Outside London","EO","40","40","25940","25970"
"In post","2023","Analysis","Dorset and Somerset","Outside London","G6/G7","20","20","54270","50970"
"In post","2023","Analysis","Dorset and Somerset","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Dorset and Somerset","Outside London","SEO/HEO","75","70","33510","30820"
"In post","2023","Analysis","East Anglia","Outside London","AA/AO","15","15","21600","22150"
"In post","2023","Analysis","East Anglia","Outside London","EO","60","55","26060","25920"
"In post","2023","Analysis","East Anglia","Outside London","G6/G7","80","75","53400","49400"
"In post","2023","Analysis","East Anglia","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Anglia","Outside London","SEO/HEO","215","205","34270","34000"
"In post","2023","Analysis","East Wales","Outside London","AA/AO","40","35","21480","21200"
"In post","2023","Analysis","East Wales","Outside London","EO","110","105","25610","25040"
"In post","2023","Analysis","East Wales","Outside London","G6/G7","260","250","54660","51460"
"In post","2023","Analysis","East Wales","Outside London","SCS level","15","15","84180","73940"
"In post","2023","Analysis","East Wales","Outside London","SEO/HEO","715","695","35510","37680"
"In post","2023","Analysis","East Yorkshire and Northern Lincolnshire","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Eastern Scotland","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Eastern Scotland","Outside London","G6/G7","25","25","66420","66270"
"In post","2023","Analysis","Eastern Scotland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Eastern Scotland","Outside London","SEO/HEO","35","35","38500","37760"
"In post","2023","Analysis","Essex","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","AA/AO","30","30","23540","23340"
"In post","2023","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","EO","65","65","27260","26940"
"In post","2023","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","G6/G7","310","295","56020","53180"
"In post","2023","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","SEO/HEO","405","390","36380","38170"
"In post","2023","Analysis","Greater Manchester","Outside London","AA/AO","10","10","[c]","[c]"
"In post","2023","Analysis","Greater Manchester","Outside London","EO","35","35","26940","26940"
"In post","2023","Analysis","Greater Manchester","Outside London","G6/G7","95","90","58840","57970"
"In post","2023","Analysis","Greater Manchester","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Greater Manchester","Outside London","SEO/HEO","270","270","37350","35000"
"In post","2023","Analysis","Hampshire and Isle of Wight","Outside London","AA/AO","10","10","21200","21200"
"In post","2023","Analysis","Hampshire and Isle of Wight","Outside London","EO","55","50","26080","25100"
"In post","2023","Analysis","Hampshire and Isle of Wight","Outside London","G6/G7","410","390","54220","51460"
"In post","2023","Analysis","Hampshire and Isle of Wight","Outside London","SCS level","15","10","82430","73330"
"In post","2023","Analysis","Hampshire and Isle of Wight","Outside London","SEO/HEO","625","605","35590","36920"
"In post","2023","Analysis","Herefordshire, Worcestershire and Warwickshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Herefordshire, Worcestershire and Warwickshire","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Highlands and Islands","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Inner London - East","London","AA/AO","15","15","23960","24520"
"In post","2023","Analysis","Inner London - East","London","EO","100","100","29210","29000"
"In post","2023","Analysis","Inner London - East","London","G6/G7","390","370","64410","61740"
"In post","2023","Analysis","Inner London - East","London","SCS level","40","35","99340","98510"
"In post","2023","Analysis","Inner London - East","London","SEO/HEO","455","450","40460","39790"
"In post","2023","Analysis","Inner London - West","London","AA/AO","55","55","24740","23500"
"In post","2023","Analysis","Inner London - West","London","EO","225","225","29920","29890"
"In post","2023","Analysis","Inner London - West","London","G6/G7","1330","1280","63390","60290"
"In post","2023","Analysis","Inner London - West","London","SCS level","120","115","89120","81300"
"In post","2023","Analysis","Inner London - West","London","SEO/HEO","1495","1475","39430","39090"
"In post","2023","Analysis","Inner London - West","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Kent","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Kent","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Kent","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Analysis","Lancashire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Lancashire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Lancashire","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Leicestershire, Rutland and Northamptonshire","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Lincolnshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Lincolnshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Lincolnshire","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Merseyside","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Merseyside","Outside London","EO","20","15","27350","27650"
"In post","2023","Analysis","Merseyside","Outside London","G6/G7","60","55","58340","57970"
"In post","2023","Analysis","Merseyside","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Merseyside","Outside London","SEO/HEO","120","115","37280","37680"
"In post","2023","Analysis","North Yorkshire","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Analysis","North Yorkshire","Outside London","G6/G7","10","10","57170","52010"
