"Status","Year","Function_of_post","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","AA/AO","Female","Heterosexual / straight","65","60","22830","22500"
"In post","2023","Analysis","AA/AO","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","AA/AO","Female","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","AA/AO","Female","Unknown","40","40","22970","22810"
"In post","2023","Analysis","AA/AO","Male","Heterosexual / straight","80","80","23030","23210"
"In post","2023","Analysis","AA/AO","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","AA/AO","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","AA/AO","Male","Unknown","20","20","[c]","[c]"
"In post","2023","Analysis","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","EO","Female","Heterosexual / straight","275","260","27760","27840"
"In post","2023","Analysis","EO","Female","LGBO","35","35","26740","25980"
"In post","2023","Analysis","EO","Female","Undeclared","25","25","[c]","[c]"
"In post","2023","Analysis","EO","Female","Unknown","120","115","27770","26520"
"In post","2023","Analysis","EO","Male","Heterosexual / straight","280","275","28080","28090"
"In post","2023","Analysis","EO","Male","LGBO","35","35","27080","26500"
"In post","2023","Analysis","EO","Male","Undeclared","25","25","[c]","[c]"
"In post","2023","Analysis","EO","Male","Unknown","110","110","27510","26310"
"In post","2023","Analysis","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","G6/G7","Female","Heterosexual / straight","1095","1015","60080","58110"
"In post","2023","Analysis","G6/G7","Female","LGBO","100","95","58370","56600"
"In post","2023","Analysis","G6/G7","Female","Undeclared","80","75","61910","60950"
"In post","2023","Analysis","G6/G7","Female","Unknown","185","175","57160","55720"
"In post","2023","Analysis","G6/G7","Male","Heterosexual / straight","1425","1390","60410","58370"
"In post","2023","Analysis","G6/G7","Male","LGBO","95","95","60620","57970"
"In post","2023","Analysis","G6/G7","Male","Undeclared","150","145","61920","58670"
"In post","2023","Analysis","G6/G7","Male","Unknown","365","355","57860","56210"
"In post","2023","Analysis","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","SCS level","Female","Heterosexual / straight","75","70","86010","81310"
"In post","2023","Analysis","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","SCS level","Female","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","SCS level","Male","Heterosexual / straight","95","95","90840","83250"
"In post","2023","Analysis","SCS level","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","SCS level","Male","Undeclared","5","5","[c]","[c]"
