"Status","Year","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Heterosexual / straight","6920","6655","46120","41870"
"In post","2023","Analysis","LGBO","735","720","42300","39170"
"In post","2023","Analysis","Undeclared","665","640","45880","41750"
"In post","2023","Analysis","Unknown","2000","1950","41650","38600"
"In post","2023","Commercial","Heterosexual / straight","5175","5015","48170","42510"
"In post","2023","Commercial","LGBO","275","275","44890","40610"
"In post","2023","Commercial","Undeclared","575","550","46210","42620"
"In post","2023","Commercial","Unknown","1255","1230","48070","41780"
"In post","2023","Communications","Heterosexual / straight","2725","2620","44330","41050"
"In post","2023","Communications","LGBO","255","250","44210","41870"
"In post","2023","Communications","Undeclared","330","315","42960","39930"
"In post","2023","Communications","Unknown","845","820","44430","41190"
"In post","2023","Counter Fraud","Heterosexual / straight","11340","10570","34300","32520"
"In post","2023","Counter Fraud","LGBO","695","670","33760","31980"
"In post","2023","Counter Fraud","Undeclared","1510","1375","34820","32520"
"In post","2023","Counter Fraud","Unknown","3600","3315","33240","31990"
"In post","2023","Debt","Heterosexual / straight","4650","4150","24950","22520"
"In post","2023","Debt","LGBO","365","350","24690","22520"
"In post","2023","Debt","Undeclared","495","430","24580","22520"
"In post","2023","Debt","Unknown","2245","2040","24260","22520"
"In post","2023","Digital, Data & Technology","Heterosexual / straight","17600","17105","43690","40500"
"In post","2023","Digital, Data & Technology","LGBO","1230","1210","42630","38820"
"In post","2023","Digital, Data & Technology","Undeclared","2505","2425","43150","40320"
"In post","2023","Digital, Data & Technology","Unknown","5015","4895","42920","39190"
"In post","2023","Finance","Heterosexual / straight","9115","8665","41790","38470"
"In post","2023","Finance","LGBO","440","425","40720","35000"
"In post","2023","Finance","Undeclared","1095","1030","40940","37700"
"In post","2023","Finance","Unknown","2220","2085","38080","34170"
"In post","2023","Grants Management","Heterosexual / straight","1720","1585","26640","22150"
"In post","2023","Grants Management","LGBO","150","150","26680","22150"
"In post","2023","Grants Management","Undeclared","245","225","26170","22150"
"In post","2023","Grants Management","Unknown","500","460","26420","22150"
"In post","2023","Human Resources","Heterosexual / straight","10770","10270","39630","35000"
"In post","2023","Human Resources","LGBO","680","665","40780","35590"
"In post","2023","Human Resources","Undeclared","1035","995","37500","34180"
"In post","2023","Human Resources","Unknown","1935","1860","39170","34700"
"In post","2023","Internal Audit","Heterosexual / straight","565","535","48140","46000"
"In post","2023","Internal Audit","LGBO","35","35","49250","44450"
"In post","2023","Internal Audit","Undeclared","75","75","49680","45570"
"In post","2023","Internal Audit","Unknown","60","55","44970","42180"
"In post","2023","Legal","Heterosexual / straight","9385","8815","47450","50460"
"In post","2023","Legal","LGBO","655","635","46570","46650"
"In post","2023","Legal","Undeclared","715","675","50820","52480"
"In post","2023","Legal","Unknown","2625","2385","48790","52600"
"In post","2023","No function","Heterosexual / straight","222195","206540","33720","29050"
"In post","2023","No function","LGBO","15180","14705","34330","30320"
"In post","2023","No function","Undeclared","27395","25060","33870","29590"
"In post","2023","No function","Unknown","65915","60775","31350","28120"
"In post","2023","Project Delivery","Heterosexual / straight","16100","15485","46440","42140"
"In post","2023","Project Delivery","LGBO","940","925","45370","41780"
"In post","2023","Project Delivery","Undeclared","1675","1605","47590","42510"
"In post","2023","Project Delivery","Unknown","3585","3455","44460","41200"
"In post","2023","Property","Heterosexual / straight","6015","5770","38570","34700"
"In post","2023","Property","LGBO","270","265","37080","33830"
"In post","2023","Property","Undeclared","705","660","38960","35020"
"In post","2023","Property","Unknown","1915","1830","33340","29660"
"In post","2023","Security","Heterosexual / straight","6945","6765","34490","30700"
"In post","2023","Security","LGBO","310","305","35360","32860"
"In post","2023","Security","Undeclared","910","885","37000","37010"
"In post","2023","Security","Unknown","1870","1835","34670","30560"
"In post","2023","Unknown","Heterosexual / straight","17975","17190","43780","39690"
"In post","2023","Unknown","LGBO","1550","1515","40590","36330"
"In post","2023","Unknown","Undeclared","1540","1465","44080","39690"
"In post","2023","Unknown","Unknown","9760","9420","38660","33690"
"Leaver CS","2023","Analysis","Heterosexual / straight","385","[c]","38250","33710"
"Leaver CS","2023","Analysis","LGBO","55","[c]","34000","31290"
"Leaver CS","2023","Analysis","Undeclared","55","[c]","43640","33630"
"Leaver CS","2023","Analysis","Unknown","385","[c]","34660","30650"
"Leaver CS","2023","Commercial","Heterosexual / straight","320","[c]","45120","39820"
"Leaver CS","2023","Commercial","LGBO","30","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Undeclared","40","[c]","47210","42490"
"Leaver CS","2023","Commercial","Unknown","250","[c]","59930","57960"
"Leaver CS","2023","Communications","Heterosexual / straight","270","[c]","44220","40850"
"Leaver CS","2023","Communications","LGBO","35","[c]","43480","40050"
"Leaver CS","2023","Communications","Undeclared","35","[c]","39860","39370"
"Leaver CS","2023","Communications","Unknown","100","[c]","39660","36650"
"Leaver CS","2023","Counter Fraud","Heterosexual / straight","295","[c]","30190","28120"
"Leaver CS","2023","Counter Fraud","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2023","Counter Fraud","Undeclared","45","[c]","30060","28120"
"Leaver CS","2023","Counter Fraud","Unknown","550","[c]","30230","27570"
"Leaver CS","2023","Debt","Heterosexual / straight","210","[c]","22750","21690"
"Leaver CS","2023","Debt","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2023","Debt","Undeclared","30","[c]","[c]","[c]"
"Leaver CS","2023","Debt","Unknown","595","[c]","22580","21690"
"Leaver CS","2023","Digital, Data & Technology","Heterosexual / straight","1230","[c]","44360","40620"
"Leaver CS","2023","Digital, Data & Technology","LGBO","125","[c]","41150","37590"
"Leaver CS","2023","Digital, Data & Technology","Undeclared","170","[c]","42760","39650"
"Leaver CS","2023","Digital, Data & Technology","Unknown","680","[c]","43130","39460"
"Leaver CS","2023","Finance","Heterosexual / straight","465","[c]","41210","37590"
"Leaver CS","2023","Finance","LGBO","25","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Undeclared","75","[c]","44800","41800"
"Leaver CS","2023","Finance","Unknown","300","[c]","40220","36180"
"Leaver CS","2023","Grants Management","Heterosexual / straight","60","[c]","24750","22150"
"Leaver CS","2023","Grants Management","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","Grants Management","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2023","Grants Management","Unknown","125","[c]","23510","22150"
"Leaver CS","2023","Human Resources","Heterosexual / straight","1025","[c]","34810","29930"
"Leaver CS","2023","Human Resources","LGBO","90","[c]","40850","34300"
"Leaver CS","2023","Human Resources","Undeclared","110","[c]","35040","32810"
"Leaver CS","2023","Human Resources","Unknown","270","[c]","36020","31220"
"Leaver CS","2023","Internal Audit","Heterosexual / straight","45","[c]","47710","42950"
"Leaver CS","2023","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Heterosexual / straight","605","[c]","45370","45230"
"Leaver CS","2023","Legal","LGBO","50","[c]","46040","51260"
"Leaver CS","2023","Legal","Undeclared","40","[c]","43790","46030"
"Leaver CS","2023","Legal","Unknown","195","[c]","48790","52760"
"Leaver CS","2023","No function","Heterosexual / straight","17660","[c]","31990","27570"
"Leaver CS","2023","No function","LGBO","1510","[c]","32540","28120"
"Leaver CS","2023","No function","Undeclared","2155","[c]","31650","27650"
"Leaver CS","2023","No function","Unknown","9415","[c]","30640","26130"
"Leaver CS","2023","Project Delivery","Heterosexual / straight","800","[c]","44250","40580"
"Leaver CS","2023","Project Delivery","LGBO","60","[c]","39710","35850"
"Leaver CS","2023","Project Delivery","Undeclared","95","[c]","43060","41200"
"Leaver CS","2023","Project Delivery","Unknown","420","[c]","40620","38470"
"Leaver CS","2023","Property","Heterosexual / straight","430","[c]","36660","33960"
"Leaver CS","2023","Property","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2023","Property","Undeclared","55","[c]","37180","33300"
"Leaver CS","2023","Property","Unknown","185","[c]","32660","27080"
"Leaver CS","2023","Security","Heterosexual / straight","605","[c]","32570","27590"
"Leaver CS","2023","Security","LGBO","30","[c]","[c]","[c]"
"Leaver CS","2023","Security","Undeclared","75","[c]","36920","39070"
"Leaver CS","2023","Security","Unknown","220","[c]","30860","27500"
"Leaver CS","2023","Unknown","Heterosexual / straight","1320","[c]","42100","36330"
"Leaver CS","2023","Unknown","LGBO","145","[c]","39040","34730"
"Leaver CS","2023","Unknown","Undeclared","360","[c]","44860","40630"
"Leaver CS","2023","Unknown","Unknown","1080","[c]","37100","32700"
"Leaver Dept.","2023","Analysis","Heterosexual / straight","290","[c]","43310","38440"
"Leaver Dept.","2023","Analysis","LGBO","40","[c]","40790","37760"
"Leaver Dept.","2023","Analysis","Undeclared","35","[c]","37710","36000"
"Leaver Dept.","2023","Analysis","Unknown","195","[c]","36960","33710"
"Leaver Dept.","2023","Commercial","Heterosexual / straight","190","[c]","39040","39090"
"Leaver Dept.","2023","Commercial","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Commercial","Undeclared","15","[c]","[c]","[c]"
