"Status","Year","Organisation","Parent_department","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Unknown","Outside London","125","115","34020","31940"
"In post","2023","Active Travel England","Department for Transport","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Planning","London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Planning","Outside London","10","5","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Project Delivery","Outside London","5","5","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Science and Engineering","Outside London","15","15","48140","40560"
"In post","2023","Active Travel England","Department for Transport","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Communications","London","10","10","42200","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Communications","Outside London","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","London","35","35","51300","49550"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Outside London","30","30","40540","41070"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Finance","London","10","10","44970","39950"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Finance","Outside London","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","London","10","10","39040","38230"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","Outside London","15","15","40560","41070"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","London","90","85","40820","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Outside London","755","685","31950","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","Outside London","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","Outside London","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Commercial","Outside London","15","15","38540","37950"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Outside London","15","15","33390","30960"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","London","80","75","35700","32720"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Outside London","2030","1930","28510","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","Outside London","25","25","36550","34140"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","Outside London","35","30","35400","31660"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","London","[c]","[c]","[c]","[c]"
