"Status","Year","Organisation","Parent_department","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Southern Scotland","Outside London","125","110","33960","31940"
"In post","2023","Accountant in Bankruptcy","Scottish Government","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Inner London - West","London","10","10","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","North Yorkshire","Outside London","30","30","47030","40560"
"In post","2023","Active Travel England","Department for Transport","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","West Yorkshire","Outside London","10","10","66550","62060"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Derbyshire and Nottinghamshire","Outside London","100","95","30770","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East Anglia","Outside London","40","35","35110","34970"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East Wales","Outside London","80","75","32080","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","45","40","34310","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Greater Manchester","Outside London","145","135","32220","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Hampshire and Isle of Wight","Outside London","20","20","35620","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Inner London - West","London","175","170","43730","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Kent","Outside London","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Northumberland, and Tyne and Wear","Outside London","140","125","31290","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","West Central Scotland","Outside London","95","85","32550","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","West Midlands","Outside London","75","70","32870","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","West Wales and The Valleys","Outside London","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","West Yorkshire","Outside London","70","60","33730","32110"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Bedfordshire and Hertfordshire","Outside London","10","10","34280","32480"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Berkshire, Buckinghamshire and Oxfordshire","Outside London","15","15","40360","38390"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cheshire","Outside London","25","20","34230","30320"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cornwall and Isles of Scilly","Outside London","60","60","32390","30320"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cumbria","Outside London","190","180","26210","22150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Derbyshire and Nottinghamshire","Outside London","40","40","31780","30320"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Devon","Outside London","220","205","28190","23530"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Dorset and Somerset","Outside London","35","35","36620","37300"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Anglia","Outside London","95","95","33130","30320"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Wales","Outside London","115","115","30720","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Yorkshire and Northern Lincolnshire","Outside London","30","30","30350","29150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Eastern Scotland","Outside London","60","60","31230","26750"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Essex","Outside London","40","35","32790","30320"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","165","160","28800","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Greater Manchester","Outside London","20","20","32550","29150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Hampshire and Isle of Wight","Outside London","35","35","31040","29150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Herefordshire, Worcestershire and Warwickshire","Outside London","170","155","30710","27500"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Highlands and Islands","Outside London","25","25","29080","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Inner London - West","London","20","20","44260","47300"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Kent","Outside London","65","60","30580","29150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Lancashire","Outside London","90","85","30680","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Leicestershire, Rutland and Northamptonshire","Outside London","20","20","35850","33810"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Lincolnshire","Outside London","20","20","35900","34950"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North Eastern Scotland","Outside London","15","15","33220","32070"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North Yorkshire","Outside London","270","265","29560","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Northumberland, and Tyne and Wear","Outside London","55","50","33080","28440"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outer London - West and North West","London","60","60","36180","32720"
