"Status","Year","Organisation","Parent_department","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scottish Government","East Ayrshire and North Ayrshire mainland","AA/AO","35","35","23910","24890"
"In post","2023","Accountant in Bankruptcy","Scottish Government","East Ayrshire and North Ayrshire mainland","EO","45","40","31120","31940"
"In post","2023","Accountant in Bankruptcy","Scottish Government","East Ayrshire and North Ayrshire mainland","G6/G7","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","East Ayrshire and North Ayrshire mainland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","East Ayrshire and North Ayrshire mainland","SEO/HEO","35","35","40550","38330"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Glasgow City","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","East Sussex CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Leeds","EO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Leeds","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Leeds","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Leeds","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Swansea","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Westminster","G6/G7","5","5","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Westminster","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","York","G6/G7","10","10","56140","51770"
"In post","2023","Active Travel England","Department for Transport","York","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","York","SEO/HEO","15","15","38360","39430"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Birmingham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Birmingham","EO","20","20","25590","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Birmingham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Birmingham","SEO/HEO","50","45","35780","32650"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Breckland and South Norfolk","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Bridgend and Neath Port Talbot","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Bristol, City of","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Bristol, City of","EO","10","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Bristol, City of","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Bristol, City of","SEO/HEO","30","25","34950","32400"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Cardiff and Vale of Glamorgan","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Cardiff and Vale of Glamorgan","EO","30","30","25600","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Cardiff and Vale of Glamorgan","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Cardiff and Vale of Glamorgan","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Cardiff and Vale of Glamorgan","SEO/HEO","45","45","34590","32200"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Central Hampshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Devon CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Dorset","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East Merseyside","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Glasgow City","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Glasgow City","EO","30","30","25530","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Glasgow City","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Glasgow City","SEO/HEO","60","50","35420","32830"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Greater Manchester North West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Greater Manchester South East","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Hartlepool and Stockton-on-Tees","SEO/HEO","[c]","[c]","[c]","[c]"
