"Status","Year","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scottish Government","125","115","34020","31940"
"In post","2023","Active Travel England","Department for Transport","50","50","52430","50240"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","1010","930","34530","32110"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","3095","2945","31320","29080"
"In post","2023","Attorney General's Office","Attorney General's Departments","50","50","50950","43000"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","230","225","46360","48100"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","5915","5740","47910","41870"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","1660","1660","30710","30130"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","655","625","35860","30820"
"In post","2023","Charity Commission","Charity Commission","500","480","35830","30170"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","1210","1130","32490","28070"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","910","880","62230","58050"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","335","310","27980","25830"
"In post","2023","Crown Commercial Service","Cabinet Office","760","740","41590","40450"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","2450","2310","39960","33120"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","7515","7040","41910","38350"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","445","430","29980","28710"
"In post","2023","Defence Equipment and Support","Ministry of Defence","10720","10320","39350","38280"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","4960","4780","42550","39890"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","6285","6155","50330","50680"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","1710","1675","49330","52760"
"In post","2023","Department for Education (excl. agencies)","Department for Education","7160","6900","45830","42010"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","6340","6125","43690","40260"
"In post","2023","Department for International Trade","Department for International Trade","3535","3485","48520","43040"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","3255","3170","48060","47320"
"In post","2023","Department for Transport (excl. agencies)","Department for Transport","3795","3695","50850","47420"
"In post","2023","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","84945","75935","29460","28120"
"In post","2023","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","3670","3540","49520","50830"
"In post","2023","Disclosure Scotland","Scottish Government","365","345","31330","24890"
"In post","2023","Driver and Vehicle Licensing Agency","Department for Transport","6230","5540","27370","22500"
"In post","2023","Driver and Vehicle Standards Agency","Department for Transport","4900","4610","30260","27490"
"In post","2023","Education Scotland","Scottish Government","360","350","59670","65280"
"In post","2023","Education and Skills Funding Agency","Department for Education","775","745","42650","38070"
"In post","2023","Estyn","Estyn","125","115","60010","78500"
"In post","2023","FCDO Services","Foreign, Commonwealth and Development Office","1115","1075","42150","38920"
"In post","2023","Food Standards Agency","Food Standards Agency","1575","1530","38950","34810"
"In post","2023","Food Standards Scotland","Scottish Government","290","280","38730","34730"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","7600","7465","50650","49960"
"In post","2023","Forestry and Land Scotland","Scottish Government","1105","1065","34400","32220"
"In post","2023","Government Actuary's Department","Chancellor's other departments","215","200","68480","67430"
"In post","2023","Government Commercial Organisation","Cabinet Office","1490","1475","74430","67200"
"In post","2023","Government Internal Audit Agency","HM Treasury","485","460","49740","47690"
"In post","2023","Government Legal Department","Attorney General's Departments","2675","2500","55770","53390"
"In post","2023","Government Property Agency","Cabinet Office","395","385","50340","51020"
"In post","2023","HM Courts and Tribunals Service","Ministry of Justice","15830","14315","27800","25480"
"In post","2023","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","25","25","63790","59780"
"In post","2023","HM Land Registry","HM Land Registry","6715","6095","32550","28080"
"In post","2023","HM Prison and Probation Service","Ministry of Justice","65745","61965","32230","30810"
"In post","2023","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","68395","63740","35310","34370"
"In post","2023","HM Treasury (excl. agencies)","HM Treasury","2005","1970","47690","53550"
"In post","2023","Health and Safety Executive","Department for Work and Pensions","2825","2680","43510","40790"
"In post","2023","Home Office","Home Office","43125","40585","33140","27650"
"In post","2023","Institute for Apprenticeships and Technical Education","Department for Education","335","330","48630","51460"
"In post","2023","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","1695","1600","40930","41020"
"In post","2023","Legal Aid Agency","Ministry of Justice","1185","1105","30750","25830"
"In post","2023","Maritime and Coastguard Agency","Department for Transport","1200","1160","35500","31660"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","1175","1145","49830","42580"
"In post","2023","Met Office","Department for Business, Energy and Industrial Strategy","2295","2185","39400","39650"
"In post","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","37330","36075","34980","32930"
"In post","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","7130","6950","43910","41510"
"In post","2023","National Crime Agency","National Crime Agency","5565","5415","42670","40440"
"In post","2023","National Infrastructure Commission","HM Treasury","50","45","54810","53410"
"In post","2023","National Records of Scotland","Scottish Government","455","430","38070","34730"
"In post","2023","National Savings and Investments","Chancellor's other departments","210","210","52300","47250"
"In post","2023","Northern Ireland Office","Northern Ireland Office","165","165","47360","43650"
"In post","2023","Office for Budget Responsibility","HM Treasury","45","45","52070","54810"
"In post","2023","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","2040","1970","52270","52750"
"In post","2023","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","1555","1535","45650","42850"
"In post","2023","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","345","335","44700","40220"
"In post","2023","Office of Rail and Road","Office of Rail and Road","370","355","55330","55990"
"In post","2023","Office of the Public Guardian","Ministry of Justice","1650","1530","24680","21780"
"In post","2023","Office of the Scottish Charity Regulator","Scottish Government","45","40","39790","33520"
"In post","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","130","125","52030","52360"
"In post","2023","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","45","45","48420","44090"
"In post","2023","Planning Inspectorate","Department for Levelling Up, Housing and Communities","885","805","46500","44910"
"In post","2023","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","40","40","42100","39000"
"In post","2023","Registers of Scotland","Scottish Government","1185","1140","35760","32510"
"In post","2023","Revenue Scotland","Scottish Government","85","85","43190","38330"
"In post","2023","Royal Fleet Auxiliary","Ministry of Defence","1695","1695","41950","40010"
"In post","2023","Rural Payments Agency","Department for Environment, Food and Rural Affairs","2820","2605","27010","22150"
"In post","2023","Scottish Courts and Tribunals Service","Scottish Government","1960","1790","30450","25060"
"In post","2023","Scottish Fiscal Commission","Scottish Government","25","25","50710","49860"
"In post","2023","Scottish Forestry","Scottish Government","220","210","38240","38210"
"In post","2023","Scottish Government (excl. agencies)","Scottish Government","9175","8800","47100","42860"
"In post","2023","Scottish Housing Regulator","Scottish Government","50","50","55540","51110"
"In post","2023","Scottish Prison Service","Scottish Government","4540","4260","35040","37060"
"In post","2023","Scottish Public Pensions Agency","Scottish Government","370","345","32070","27740"
"In post","2023","Serious Fraud Office","Attorney General's Departments","460","450","48650","42500"
"In post","2023","Social Security Scotland","Scottish Government","4025","3855","31460","29100"
"In post","2023","Standards and Testing Agency","Department for Education","130","125","43100","41440"
"In post","2023","Student Awards Agency for Scotland","Scottish Government","265","255","33190","29450"
"In post","2023","Submarine Delivery Agency","Ministry of Defence","2090","2035","43320","41490"
"In post","2023","Teaching Regulation Agency","Department for Education","85","80","32490","30330"
"In post","2023","The Insolvency Service","Department for Business, Energy and Industrial Strategy","1650","1565","35140","31840"
"In post","2023","The National Archives","The National Archives","590","560","37440","34940"
"In post","2023","Transport Scotland","Scottish Government","530","515","48720","49860"
"In post","2023","UK Debt Management Office","HM Treasury","115","115","62440","57000"
"In post","2023","UK Export Finance","UK Export Finance","520","515","54840","51510"
"In post","2023","UK Health Security Agency","Department of Health and Social Care","5420","5130","46190","40880"
"In post","2023","UK Hydrographic Office","Ministry of Defence","940","900","37560","34370"
"In post","2023","UK Space Agency","Department for Business, Energy and Industrial Strategy","265","265","47980","43650"
"In post","2023","UK Statistics Authority","UK Statistics Authority","6130","5510","35460","31560"
"In post","2023","UK Supreme Court","UK Supreme Court","55","55","38100","33450"
"In post","2023","Valuation Office Agency","HM Revenue and Customs","3985","3740","35710","32260"
"In post","2023","Vehicle Certification Agency","Department for Transport","215","200","36920","34970"
"In post","2023","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","165","160","43210","40260"
"In post","2023","Water Services Regulation Authority","Water Services Regulation Authority","265","255","56510","50260"
"In post","2023","Welsh Government (excl. agencies)","Welsh Government","5970","5640","43720","39690"
"In post","2023","Welsh Revenue Authority","Welsh Government","80","80","46880","43660"
"In post","2023","Wilton Park","Foreign, Commonwealth and Development Office","85","80","35870","31620"
"Leaver CS","2023","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","85","[c]","39180","34500"
"Leaver CS","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","290","[c]","30140","25920"
"Leaver CS","2023","Attorney General's Office","Attorney General's Departments","5","[c]","[c]","[c]"
"Leaver CS","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","35","[c]","40400","35620"
"Leaver CS","2023","Cabinet Office (excl. agencies)","Cabinet Office","770","[c]","46260","40600"
"Leaver CS","2023","Central Civil Service Fast Stream","Cabinet Office","115","[c]","30570","30130"
"Leaver CS","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","55","[c]","33140","29750"
"Leaver CS","2023","Charity Commission","Charity Commission","50","[c]","33010","30170"
"Leaver CS","2023","Companies House","Department for Business, Energy and Industrial Strategy","100","[c]","32520","25610"
"Leaver CS","2023","Competition and Markets Authority","Competition and Markets Authority","120","[c]","54530","53530"
"Leaver CS","2023","Criminal Injuries Compensation Authority","Ministry of Justice","10","[c]","[c]","[c]"
