"Status","Year","Organisation","Profession_of_post","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Unknown","Scotland","East Ayrshire and North Ayrshire mainland","125","110","33960","31940"
"In post","2023","Accountant in Bankruptcy","Unknown","Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Communications","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Communications","Yorkshire and The Humber","York","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","Yorkshire and The Humber","York","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","Yorkshire and The Humber","York","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Human Resources","Wales","Swansea","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","Yorkshire and The Humber","York","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Other","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","Yorkshire and The Humber","York","5","5","[c]","[c]"
"In post","2023","Active Travel England","Policy","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","South East (England)","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","Yorkshire and The Humber","York","[c]","[c]","[c]","[c]"
