"Status","Year","Organisation","Profession_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Unknown","AA/AO","Female","20","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","AA/AO","Male","15","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","EO","Female","30","25","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","EO","Male","15","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","SEO/HEO","Female","25","25","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","Active Travel England","Communications","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Communications","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Human Resources","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Human Resources","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Other","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Other","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Policy","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Policy","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2023","Active Travel England","Statistics","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Statistics","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","SEO/HEO","Male","5","5","[c]","[c]"
