"Status","Year","Organisation","Region_ITL1","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scotland","Southern Scotland","East Ayrshire and North Ayrshire mainland","125","110","33960","31940"
"In post","2023","Accountant in Bankruptcy","Scotland","West Central Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","Inner London - West","Westminster","10","10","[c]","[c]"
"In post","2023","Active Travel England","South East (England)","Surrey, East and West Sussex","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Wales","West Wales and The Valleys","Swansea","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","North Yorkshire","York","30","30","47030","40560"
"In post","2023","Active Travel England","Yorkshire and The Humber","West Yorkshire","Leeds","10","10","66550","62060"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Derbyshire and Nottinghamshire","Nottingham","100","95","30770","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","East Anglia","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","East Anglia","Suffolk CC","40","35","34880","34950"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Essex","Thurrock","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Inner London - West","Wandsworth","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Inner London - West","Westminster","165","160","44000","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","Northumberland, and Tyne and Wear","Tyneside","140","125","31290","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","Tees Valley and Durham","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Greater Manchester","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Greater Manchester","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Greater Manchester","Manchester","145","130","32130","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Lancashire","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Merseyside","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Merseyside","Sefton","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","Eastern Scotland","Perth and Kinross, and Stirling","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","West Central Scotland","Glasgow City","95","85","32550","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","Hampshire and Isle of Wight","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","Hampshire and Isle of Wight","North Hampshire","20","20","35640","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","Kent","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","Kent","Medway","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","Kent","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","Kent","West Kent","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","Devon","Devon CC","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","Dorset and Somerset","Dorset","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","45","40","34310","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","East Wales","Cardiff and Vale of Glamorgan","80","75","32080","32110"
