"Status","Year","Organisation","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","AA","35","35","23910","24890"
"In post","2023","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","EO","45","40","31120","31940"
"In post","2023","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","G6","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","G7","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","HEO","25","25","37250","38330"
"In post","2023","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","SEO","10","10","48060","49860"
"In post","2023","Accountant in Bankruptcy","Glasgow City","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","East Sussex CC","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Leeds","EO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Leeds","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Leeds","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Leeds","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Leeds","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Leeds","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Swansea","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Westminster","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Westminster","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Westminster","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","York","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","York","G7","10","10","[c]","[c]"
"In post","2023","Active Travel England","York","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","York","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","York","SEO","15","15","39860","39430"
"In post","2023","Advisory, Conciliation and Arbitration Service","Birmingham","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Birmingham","EO","20","20","25590","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Birmingham","G6","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Birmingham","HEO","35","35","32980","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Birmingham","SEO","15","15","41710","41070"
"In post","2023","Advisory, Conciliation and Arbitration Service","Breckland and South Norfolk","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Bridgend and Neath Port Talbot","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Bristol, City of","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Bristol, City of","EO","10","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Bristol, City of","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Bristol, City of","HEO","20","20","33040","32130"
"In post","2023","Advisory, Conciliation and Arbitration Service","Bristol, City of","SEO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","AO","[c]","[c]","[c]","[c]"
