"Status","Year","Organisation","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Outside London","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","AA/AO","Unknown","25","25","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","EO","Unknown","15","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","SEO/HEO","Heterosexual / straight","30","30","40740","38330"
"In post","2023","Accountant in Bankruptcy","Outside London","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2023","Active Travel England","London","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Active Travel England","London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Outside London","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
