"Status","Year","Organisation","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","AA/AO","Unknown","25","25","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","EO","Unknown","15","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","SEO/HEO","Heterosexual / straight","30","30","40740","38330"
"In post","2023","Accountant in Bankruptcy","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2023","Active Travel England","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","G6/G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Active Travel England","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","G6/G7","Unknown","10","5","[c]","[c]"
"In post","2023","Active Travel England","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","SEO/HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Active Travel England","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","AA/AO","Heterosexual / straight","30","25","22200","21670"
"In post","2023","Advisory, Conciliation and Arbitration Service","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","EO","Heterosexual / straight","180","165","26100","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","EO","LGBO","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","EO","Undeclared","20","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","EO","Unknown","80","75","25430","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","G6/G7","Heterosexual / straight","50","45","60740","58900"
"In post","2023","Advisory, Conciliation and Arbitration Service","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","SEO/HEO","Heterosexual / straight","440","400","36840","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","SEO/HEO","LGBO","35","30","35780","32200"
"In post","2023","Advisory, Conciliation and Arbitration Service","SEO/HEO","Undeclared","75","75","37210","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","SEO/HEO","Unknown","55","55","34850","32110"
"In post","2023","Animal and Plant Health Agency","AA/AO","Heterosexual / straight","660","615","22940","22150"
"In post","2023","Animal and Plant Health Agency","AA/AO","LGBO","75","75","23120","22150"
"In post","2023","Animal and Plant Health Agency","AA/AO","Undeclared","80","75","23020","22150"
"In post","2023","Animal and Plant Health Agency","AA/AO","Unknown","130","125","23000","22150"
"In post","2023","Animal and Plant Health Agency","EO","Heterosexual / straight","620","595","27250","25920"
"In post","2023","Animal and Plant Health Agency","EO","LGBO","65","60","27220","25920"
"In post","2023","Animal and Plant Health Agency","EO","Undeclared","90","85","27470","26250"
"In post","2023","Animal and Plant Health Agency","EO","Unknown","55","50","27050","26850"
"In post","2023","Animal and Plant Health Agency","G6/G7","Heterosexual / straight","200","195","54560","54330"
"In post","2023","Animal and Plant Health Agency","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","G6/G7","Undeclared","45","40","56300","54950"
"In post","2023","Animal and Plant Health Agency","G6/G7","Unknown","20","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","SEO/HEO","Heterosexual / straight","760","730","35430","34860"
"In post","2023","Animal and Plant Health Agency","SEO/HEO","LGBO","45","45","34840","33830"
"In post","2023","Animal and Plant Health Agency","SEO/HEO","Undeclared","135","125","36910","37300"
"In post","2023","Animal and Plant Health Agency","SEO/HEO","Unknown","80","75","37040","37300"
"In post","2023","Animal and Plant Health Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Unknown","Unknown","15","15","[c]","[c]"
"In post","2023","Attorney General's Office","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","G6/G7","Unknown","15","15","[c]","[c]"
"In post","2023","Attorney General's Office","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Building Digital UK","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Building Digital UK","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","EO","Unknown","5","5","[c]","[c]"
"In post","2023","Building Digital UK","G6/G7","Heterosexual / straight","85","85","56710","53500"
"In post","2023","Building Digital UK","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2023","Building Digital UK","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2023","Building Digital UK","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Building Digital UK","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","SEO/HEO","Heterosexual / straight","55","55","35160","35620"
"In post","2023","Building Digital UK","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Building Digital UK","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","AA/AO","Heterosexual / straight","290","265","22470","21720"
"In post","2023","Cabinet Office (excl. agencies)","AA/AO","LGBO","30","30","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","AA/AO","Undeclared","25","25","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","AA/AO","Unknown","75","70","22780","21830"
"In post","2023","Cabinet Office (excl. agencies)","EO","Heterosexual / straight","485","460","27150","27430"
"In post","2023","Cabinet Office (excl. agencies)","EO","LGBO","55","55","26090","24860"
"In post","2023","Cabinet Office (excl. agencies)","EO","Undeclared","45","45","27740","28370"
"In post","2023","Cabinet Office (excl. agencies)","EO","Unknown","170","170","27070","27430"
"In post","2023","Cabinet Office (excl. agencies)","G6/G7","Heterosexual / straight","1515","1480","59220","56430"
"In post","2023","Cabinet Office (excl. agencies)","G6/G7","LGBO","190","190","58170","56430"
"In post","2023","Cabinet Office (excl. agencies)","G6/G7","Undeclared","195","190","58950","56430"
"In post","2023","Cabinet Office (excl. agencies)","G6/G7","Unknown","365","355","59500","56430"
"In post","2023","Cabinet Office (excl. agencies)","SCS level","Heterosexual / straight","300","290","95350","85000"
"In post","2023","Cabinet Office (excl. agencies)","SCS level","LGBO","20","20","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","SCS level","Undeclared","35","30","91910","81790"
"In post","2023","Cabinet Office (excl. agencies)","SCS level","Unknown","100","100","100060","89840"
"In post","2023","Cabinet Office (excl. agencies)","SEO/HEO","Heterosexual / straight","1425","1390","37440","36680"
"In post","2023","Cabinet Office (excl. agencies)","SEO/HEO","LGBO","160","160","37290","35650"
"In post","2023","Cabinet Office (excl. agencies)","SEO/HEO","Undeclared","140","135","37970","37880"
"In post","2023","Cabinet Office (excl. agencies)","SEO/HEO","Unknown","295","285","37930","36680"
"In post","2023","Central Civil Service Fast Stream","SEO/HEO","Heterosexual / straight","375","375","32520","32960"
"In post","2023","Central Civil Service Fast Stream","SEO/HEO","LGBO","70","70","32120","32960"
"In post","2023","Central Civil Service Fast Stream","SEO/HEO","Undeclared","50","50","32510","32960"
"In post","2023","Central Civil Service Fast Stream","SEO/HEO","Unknown","1170","1165","29970","30130"
