"Status","Year","Parent_department","Profession_of_post","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Commercial","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Inner London - West","London","15","15","37970","37510"
"In post","2023","Attorney General's Departments","Commercial","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","North Yorkshire","Outside London","10","10","43620","38940"
"In post","2023","Attorney General's Departments","Commercial","Northumberland, and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","South Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Inner London - West","London","65","65","43150","40540"
"In post","2023","Attorney General's Departments","Communications","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Northumberland, and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","Inner London - West","London","10","10","47560","40360"
"In post","2023","Attorney General's Departments","Counter Fraud","Inner London - West","London","235","230","47500","41400"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Derbyshire and Nottinghamshire","Outside London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","East Wales","Outside London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
