"Status","Year","Parent_department","Profession_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Commercial","London","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","London","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Outside London","Female","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","London","Female","40","35","45040","40540"
"In post","2023","Attorney General's Departments","Communications","London","Male","30","30","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Outside London","Female","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","London","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","London","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","London","Female","95","95","43360","38480"
"In post","2023","Attorney General's Departments","Counter Fraud","London","Male","135","135","50430","43430"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","London","Female","30","30","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","London","Male","75","75","51980","46230"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Outside London","Female","45","45","40310","35000"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Outside London","Male","55","55","41440","38940"
"In post","2023","Attorney General's Departments","Finance","London","Female","50","45","36920","31100"
"In post","2023","Attorney General's Departments","Finance","London","Male","45","45","42730","32890"
"In post","2023","Attorney General's Departments","Finance","Outside London","Female","80","70","28270","26900"
"In post","2023","Attorney General's Departments","Finance","Outside London","Male","60","60","32050","27440"
"In post","2023","Attorney General's Departments","Human Resources","London","Female","100","100","41910","35860"
"In post","2023","Attorney General's Departments","Human Resources","London","Male","35","35","46840","40540"
"In post","2023","Attorney General's Departments","Human Resources","Outside London","Female","90","85","36850","32390"
"In post","2023","Attorney General's Departments","Human Resources","Outside London","Male","30","30","37880","34330"
"In post","2023","Attorney General's Departments","Intelligence Analysis","London","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Intelligence Analysis","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","London","Female","30","30","45530","40940"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","London","Male","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","Outside London","Female","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","London","Female","1875","1715","60110","61100"
"In post","2023","Attorney General's Departments","Legal","London","Male","935","910","62080","63500"
"In post","2023","Attorney General's Departments","Legal","Outside London","Female","1745","1575","53690","54100"
"In post","2023","Attorney General's Departments","Legal","Outside London","Male","1050","1015","56250","56450"
"In post","2023","Attorney General's Departments","Legal","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Operational Delivery","London","Female","755","700","30370","28200"
"In post","2023","Attorney General's Departments","Operational Delivery","London","Male","345","340","31230","28200"
"In post","2023","Attorney General's Departments","Operational Delivery","Outside London","Female","1865","1700","27250","26900"
"In post","2023","Attorney General's Departments","Operational Delivery","Outside London","Male","610","600","27680","26900"
"In post","2023","Attorney General's Departments","Operational Delivery","Overseas","Female","[c]","[c]","[c]","[c]"
