"Status","Year","Parent_department","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","325","305","38330","31180"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","180","165","38880","36880"
"In post","2023","Attorney General's Departments","East Midlands (England)","Lincolnshire","20","20","46990","56450"
"In post","2023","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","195","175","45020","42430"
"In post","2023","Attorney General's Departments","East of England","East Anglia","150","135","37900","31180"
"In post","2023","Attorney General's Departments","East of England","Essex","210","195","42920","38460"
"In post","2023","Attorney General's Departments","London","Inner London - East","20","20","35320","25600"
"In post","2023","Attorney General's Departments","London","Inner London - West","4710","4450","51380","52790"
"In post","2023","Attorney General's Departments","London","Outer London - East and North East","20","20","39010","25600"
"In post","2023","Attorney General's Departments","London","Outer London - South","60","55","39400","32660"
"In post","2023","Attorney General's Departments","London","Outer London - West and North West","20","15","45130","44550"
"In post","2023","Attorney General's Departments","North East (England)","Northumberland, and Tyne and Wear","280","260","39260","32340"
"In post","2023","Attorney General's Departments","North East (England)","Tees Valley and Durham","115","100","39940","33300"
"In post","2023","Attorney General's Departments","North West (England)","Cheshire","25","20","57510","58030"
"In post","2023","Attorney General's Departments","North West (England)","Cumbria","30","30","41170","42030"
"In post","2023","Attorney General's Departments","North West (England)","Greater Manchester","405","375","41200","38760"
"In post","2023","Attorney General's Departments","North West (England)","Lancashire","200","190","41210","38940"
"In post","2023","Attorney General's Departments","North West (England)","Merseyside","430","410","37900","31180"
"In post","2023","Attorney General's Departments","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","135","125","41890","33780"
"In post","2023","Attorney General's Departments","South East (England)","Hampshire and Isle of Wight","300","285","43650","40540"
"In post","2023","Attorney General's Departments","South East (England)","Kent","140","135","41110","34730"
"In post","2023","Attorney General's Departments","South East (England)","Surrey, East and West Sussex","210","200","43350","36780"
"In post","2023","Attorney General's Departments","South West (England)","Cornwall and Isles of Scilly","30","25","37220","30020"
"In post","2023","Attorney General's Departments","South West (England)","Devon","110","105","40930","38940"
"In post","2023","Attorney General's Departments","South West (England)","Dorset and Somerset","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","280","260","44950","49050"
"In post","2023","Attorney General's Departments","Wales","East Wales","330","305","41220","38760"
"In post","2023","Attorney General's Departments","Wales","West Wales and The Valleys","105","100","41700","38940"
"In post","2023","Attorney General's Departments","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","10","10","49600","53750"
"In post","2023","Attorney General's Departments","West Midlands (England)","Shropshire and Staffordshire","80","75","42840","38940"
"In post","2023","Attorney General's Departments","West Midlands (England)","West Midlands","550","515","40770","38760"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","85","75","40010","33810"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","North Yorkshire","160","155","43970","38940"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","South Yorkshire","165","150","36030","28850"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","West Yorkshire","640","595","43640","49050"
"In post","2023","Cabinet Office","East Midlands (England)","Derbyshire and Nottinghamshire","75","75","50020","51020"
"In post","2023","Cabinet Office","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","10","10","[c]","[c]"
"In post","2023","Cabinet Office","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East of England","Bedfordshire and Hertfordshire","5","5","[c]","[c]"
"In post","2023","Cabinet Office","East of England","East Anglia","240","230","47050","40620"
"In post","2023","Cabinet Office","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","London","Inner London - East","1365","1335","54870","56430"
"In post","2023","Cabinet Office","London","Inner London - West","4185","4135","50760","41870"
"In post","2023","Cabinet Office","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","London","Outer London - South","30","30","67200","67450"
"In post","2023","Cabinet Office","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","North East (England)","Northumberland, and Tyne and Wear","400","375","31630","27100"
"In post","2023","Cabinet Office","North East (England)","Tees Valley and Durham","15","15","58460","56000"
"In post","2023","Cabinet Office","North West (England)","Cheshire","5","5","[c]","[c]"
"In post","2023","Cabinet Office","North West (England)","Cumbria","10","10","[c]","[c]"
"In post","2023","Cabinet Office","North West (England)","Greater Manchester","510","500","48510","50690"
"In post","2023","Cabinet Office","North West (England)","Lancashire","50","50","54600","56000"
"In post","2023","Cabinet Office","North West (England)","Merseyside","485","475","43020","40450"
"In post","2023","Cabinet Office","Northern Ireland","Northern Ireland","15","15","34390","33020"
